date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.076801+00:00,020001,PROVIDENCE ALASKA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\020001.jsonl,2,,,0.03
2026-09-03T03:12:40.076801+00:00,020006,MAT-SU REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\020006.jsonl,,,,0.02
2026-09-03T03:12:40.076801+00:00,020008,BARTLETT REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\020008.jsonl,2,,,0.01
2026-09-03T03:12:40.076801+00:00,020012,FAIRBANKS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\020012.jsonl,2,,,0.03
2026-09-03T03:12:40.076801+00:00,020018,YUKON KUSKOKWIM DELTA REGIONAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Yukon_V2.aspx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\020018.jsonl,
2026-09-03T03:12:40.076801+00:00,021301,PROVIDENCE VALDEZ MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021301.jsonl,,,,0.03
2026-09-03T03:12:40.076801+00:00,021302,PROVIDENCE SEWARD MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021302.jsonl,,,,0.01
2026-09-03T03:12:40.076801+00:00,021304,PETERSBURG MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021304.jsonl,,,,0.01
2026-09-03T03:12:40.076801+00:00,021306,PROVIDENCE KODIAK ISLAND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021306.jsonl,2,,,0.02
2026-09-03T03:12:40.076801+00:00,021308,NORTON SOUND REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021308.jsonl,,,,0.01
2026-09-03T03:12:40.076801+00:00,021309,BRISTOL BAY AREA HEALTH CORPORATION KANAKANAK HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Kanakanak_V3.aspx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021309.jsonl,
2026-09-03T03:12:40.076801+00:00,021310,MANIILAQ HEALTH SERVICES,SKIPPED,https://mdsave-system.s3.amazonaws.com/master/temp/TransparencyMandate/maniilaq_2025_chargemaster.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021310.jsonl,
2026-09-03T03:12:40.076801+00:00,021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021311.jsonl,2,,,0.02
2026-09-03T03:12:40.076801+00:00,021313,SOUTH PENINSULA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\021313.jsonl,2,,,0.02
2026-09-03T03:12:40.076801+00:00,022001,PROVIDENCE ST. ELIAS SPECIALTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\022001.jsonl,,,,0.01
2026-09-03T03:12:40.076801+00:00,024001,NORTH STAR BEHAVIORAL HEALTH,SKIPPED,https://uhsfilecdn.eskycity.net/bh/721539530_northstar_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AK\024001.jsonl,
