date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.084437+00:00,010001,SOUTHEAST HEALTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010001.jsonl,2,,,0.02
2026-09-03T03:12:40.084437+00:00,010005,MARSHALL MEDICAL CENTER SOUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010005.jsonl,,,,0.02
2026-09-03T03:12:40.084437+00:00,010006,NORTH ALABAMA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010006.jsonl,,,,0.01
2026-09-03T03:12:40.084437+00:00,010007,MIZELL MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010007.jsonl,,,,0.01
2026-09-03T03:12:40.084437+00:00,010008,CRENSHAW COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010008.jsonl,,,,0.01
2026-09-03T03:12:40.084437+00:00,010010,MARSHALL MEDICAL CENTER NORTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010010.jsonl,,,,0.03
2026-09-03T03:12:40.084437+00:00,010011,ASCENSION ST. VINCENT'S EAST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010011.jsonl,,,,0.02
2026-09-03T03:12:40.084437+00:00,010012,DEKALB REGIONAL MEDICAL CENTER,SKIPPED,https://dekalbregional.org/wp-content/uploads/934333907_Dekalb-Regional-Medical-Center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010012.jsonl,
2026-09-03T03:12:40.084437+00:00,010016,BAPTIST HEALTH SHELBY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010016.jsonl,2,,,0.10
2026-09-03T03:12:40.084437+00:00,010018,UAB CALLAHAN EYE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010018.jsonl,,,,0.01
2026-09-03T03:12:40.084437+00:00,010019,HELEN KELLER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010019.jsonl,2,,,0.03
2026-09-03T03:12:40.084437+00:00,010021,DALE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010021.jsonl,,,,0.01
2026-09-03T03:12:40.084437+00:00,010022,ATRIUM HEALTH FLOYD CHEROKEE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010022.jsonl,,,,0.01
2026-09-03T03:12:40.084437+00:00,010023,BAPTIST MEDICAL CENTER SOUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010023.jsonl,1,,,0.06
2026-09-03T03:12:40.084437+00:00,010029,EAST ALABAMA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010029.jsonl,,,,0.03
2026-09-03T03:12:40.084437+00:00,010033,UAB HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AL\010033.jsonl,2,,,0.03
