date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.080964+00:00,040001,SILOAM SPRINGS REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040001.jsonl,,,,0.02
2026-09-03T03:12:40.080964+00:00,040002,JOHNSON REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040002.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040004,WASHINGTON REGIONAL MEDICAL CENTER,SKIPPED,https://washingtonregionalmedicalcenter.pg.revenuemasters.com/cdm-files/710664687_washington-regional-medical-center_standardcharges.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040004.jsonl,
2026-09-03T03:12:40.080964+00:00,040007,CHI ST. VINCENT INFIRMARY HEALTH SYSTEM,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040007.jsonl,,,,0.08
2026-09-03T03:12:40.080964+00:00,040010,MERCY HOSPITAL NORTHWEST ARKANSAS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040010.jsonl,,,,0.02
2026-09-03T03:12:40.080964+00:00,040011,CHAMBERS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040011.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040014,UNITY HEALTH WHITE COUNTY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040014.jsonl,,,,0.06
2026-09-03T03:12:40.080964+00:00,040016,UAMS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040016.jsonl,,,,0.04
2026-09-03T03:12:40.080964+00:00,040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040017.jsonl,,,,0.02
2026-09-03T03:12:40.080964+00:00,040018,BAPTIST HEALTH VAN BUREN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040018.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040019,FORREST CITY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040019.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040020,ST. BERNARDS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040020.jsonl,2,,,0.06
2026-09-03T03:12:40.080964+00:00,040022,NORTHWEST MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040022.jsonl,,,,0.02
2026-09-03T03:12:40.080964+00:00,040026,CHI ST VINCENT HOSPITAL HOT SPRINGS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040026.jsonl,,,,0.05
2026-09-03T03:12:40.080964+00:00,040027,BAXTER HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040027.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040029,CONWAY REGIONAL MEDICAL CENTER,SKIPPED,https://www.conwayregional.org/docs/default-source/campaigns/710249735_conway-regional-medical-center_standardcharges-1,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040029.jsonl,
2026-09-03T03:12:40.080964+00:00,040036,BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040036.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040041,ST. MARY'S REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040041.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040047,ST. BERNARDS FIVE RIVER MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040047.jsonl,2,,,0.05
2026-09-03T03:12:40.080964+00:00,040051,BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040051.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040055,BAPTIST HEALTH - FORT SMITH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040055.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040062,MERCY HOSPITAL FORT SMITH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040062.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040067,MAGNOLIA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040067.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040069,GREAT RIVER MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040069.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040071,JEFFERSON REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040071.jsonl,1,,,0.02
2026-09-03T03:12:40.080964+00:00,040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040072.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040076,BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040076.jsonl,2,,,0.02
2026-09-03T03:12:40.080964+00:00,040078,NATIONAL PARK MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040078.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040084,SALINE MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040084.jsonl,,,,0.01
2026-09-03T03:12:40.080964+00:00,040088,SOUTH ARKANSAS REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040088.jsonl,,,,0.00
2026-09-03T03:12:40.080964+00:00,040118,NEA BAPTIST MEMORIAL HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AR\040118.jsonl,,,,0.02
