date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.088147+00:00,030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030002.jsonl,,,,0.02
2026-09-03T03:12:40.088147+00:00,030006,TUCSON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030006.jsonl,2,,,0.06
2026-09-03T03:12:40.088147+00:00,030007,VERDE VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030007.jsonl,,,,0.02
2026-09-03T03:12:40.088147+00:00,030010,CARONDELET ST. MARY'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030010.jsonl,2,,,0.09
2026-09-03T03:12:40.088147+00:00,030011,CARONDELET ST. JOSEPH'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030011.jsonl,2,,,0.11
2026-09-03T03:12:40.088147+00:00,030012,YAVAPAI REGIONAL MEDICAL CENTER WEST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030012.jsonl,2,,,0.05
2026-09-03T03:12:40.088147+00:00,030013,ONVIDA HEALTH YUMA REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030013.jsonl,2,,,0.06
2026-09-03T03:12:40.088147+00:00,030014,HONORHEALTH JOHN C. LINCOLN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030014.jsonl,2,,,0.05
2026-09-03T03:12:40.088147+00:00,030016,BANNER CASA GRANDE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030016.jsonl,,,,0.03
2026-09-03T03:12:40.088147+00:00,030023,FLAGSTAFF MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\AZ\030023.jsonl,,,,0.02
