date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.101200+00:00,060003,COMMONSPIRIT LONGMONT UNITED HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060003.jsonl,2,,,0.05
2026-09-03T03:12:40.101200+00:00,060004,PLATTE VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060004.jsonl,1,,,0.10
2026-09-03T03:12:40.101200+00:00,060006,MONTROSE REGIONAL HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060006.jsonl,,,,0.02
2026-09-03T03:12:40.101200+00:00,060008,SAN LUIS VALLEY REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060008.jsonl,,,,0.01
2026-09-03T03:12:40.101200+00:00,060010,UC HEALTH POUDRE VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060010.jsonl,2,,,0.07
2026-09-03T03:12:40.101200+00:00,060011,DENVER HEALTH MAIN CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060011.jsonl,2,,,0.09
2026-09-03T03:12:40.101200+00:00,060012,COMMONSPIRIT ST. MARY-CORWIN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060012.jsonl,2,,,0.04
2026-09-03T03:12:40.101200+00:00,060013,COMMONSPIRIT MERCY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060013.jsonl,2,,,0.05
2026-09-03T03:12:40.101200+00:00,060014,HCA HEALTHONE PRESBYTERIAN ST. LUKE’S,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060014.jsonl,2,,,0.09
2026-09-03T03:12:40.101200+00:00,060014,HCA HEALTHONE ROCKY MOUNTAIN CHILDREN’S,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060014.jsonl,2,,,0.08
2026-09-03T03:12:40.101200+00:00,060015,COMMONSPIRIT ST. ANTHONY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060015.jsonl,2,,,0.05
2026-09-03T03:12:40.102200+00:00,060020,UC HEALTH PARKVIEW MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060020.jsonl,1,,,0.06
2026-09-03T03:12:40.102200+00:00,060020,UC HEALTH PARKVIEW PUEBLO WEST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060020.jsonl,1,,,0.07
2026-09-03T03:12:40.102200+00:00,060022,UC HEALTH MEMORIAL HOSPITAL CENTRAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060022.jsonl,2,,,0.08
2026-09-03T03:12:40.102200+00:00,060022,UC HEALTH MEMORIAL HOSPITAL NORTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060022.jsonl,2,,,0.09
2026-09-03T03:12:40.102200+00:00,060024,UC HEALTH UNIVERSITY OF COLORADO HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060024.jsonl,2,,,0.11
2026-09-03T03:12:40.102200+00:00,060028,SAINT JOSEPH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CO\060028.jsonl,2,,,0.08
