date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.079314+00:00,070001,YALE-NEW HAVEN HOSPITAL SAINT RAPHAEL CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070001.jsonl,,,,0.03
2026-09-03T03:12:40.079314+00:00,070002,ST FRANCIS HOSPITAL AND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070002.jsonl,2,,,0.01
2026-09-03T03:12:40.079314+00:00,070003,DAY KIMBALL HOSPITAL,SKIPPED,https://www.daykimball.org/_files/public/060646599_day-kimball-healthcare_standardcharges.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070003.jsonl,
2026-09-03T03:12:40.079314+00:00,070004,SHARON HOSPITAL,SKIPPED,https://www.nuvancehealth.org/-/media/pdf-files/billing-and-insurance/standard-charge-file/january-2025/815056290_sharon-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070004.jsonl,
2026-09-03T03:12:40.079314+00:00,070005,WATERBURY HOSPITAL,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7914/812181470_prospect-medical-holdings-waterbury_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070005.jsonl,
2026-09-03T03:12:40.079314+00:00,070006,STAMFORD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070006.jsonl,2,,,0.02
2026-09-03T03:12:40.079314+00:00,070007,LAWRENCE + MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070007.jsonl,,,,0.03
2026-09-03T03:12:40.079314+00:00,070008,JOHNSON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070008.jsonl,,,,0.00
2026-09-03T03:12:40.079314+00:00,070010,BRIDGEPORT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070010.jsonl,,,,0.03
2026-09-03T03:12:40.079314+00:00,070011,CHARLOTTE HUNGERFORD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\CT\070011.jsonl,,,,0.01
