date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.077805+00:00,080001,CHRISTIANA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\080001.jsonl,,,,0.01
2026-09-03T03:12:40.077805+00:00,080003,ST. FRANCIS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\080003.jsonl,,,,0.01
2026-09-03T03:12:40.077805+00:00,080004,BAYHEALTH HOSPITAL KENT CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\080004.jsonl,,,,0.02
2026-09-03T03:12:40.077805+00:00,080006,TIDALHEALTH NANTICOKE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\080006.jsonl,,,,0.03
2026-09-03T03:12:40.077805+00:00,080007,BEEBE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\080007.jsonl,2,,,0.02
2026-09-03T03:12:40.077805+00:00,080009,BAYHEALTH MEDICAL CENTER SUSSEX CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\080009.jsonl,,,,0.02
2026-09-03T03:12:40.077805+00:00,082000,SELECT SPECIALTY HOSPITAL - WILMINGTON,SKIPPED,https://resources.selectmedical.com/pricing-transparency/critical-illness-recovery/51-0382465_Select_Specialty_Hospital-Wilmington_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\082000.jsonl,
2026-09-03T03:12:40.077805+00:00,083026,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MIDDLETOWN,SKIPPED,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/273463026_Encompass-Health-Rehabilitation-Hospital-of-Middletown_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\083026.jsonl,
2026-09-03T03:12:40.077805+00:00,083300,"NEMOURS CHILDREN'S HOSPITAL, DELAWARE",SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\083300.jsonl,2,,,0.02
2026-09-03T03:12:40.077805+00:00,084002,ROCKFORD CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\084002.jsonl,,,,0.00
2026-09-03T03:12:40.077805+00:00,084003,MEADOW WOOD BEHAVIORAL HEALTH SYSTEM,SKIPPED,https://www.meadowwoodhospital.com/wp-content/uploads/pricing/2025/199/45-1343206_PHC_Meadowwood-LLC_standard%20charges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\084003.jsonl,
2026-09-03T03:12:40.077805+00:00,084004,DOVER BEHAVIORAL HEALTH SYSTEM,SKIPPED,https://uhsfilecdn.eskycity.net/bh/205093162_dover_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\084004.jsonl,
2026-09-03T03:12:40.077805+00:00,084005,SUN BEHAVIORAL DELAWARE,SKIPPED,http://sundelaware.com/wp-content/uploads/2025/07/DE-Price-Transparency-Shoppable-Services.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\DE\084005.jsonl,
