date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.090234+00:00,110001,HAMILTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110001.jsonl,,,,0.01
2026-09-03T03:12:40.090234+00:00,110002,UPSON REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110002.jsonl,,,,0.01
2026-09-03T03:12:40.090234+00:00,110003,MEMORIAL SATILLA HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110003.jsonl,2,,,0.07
2026-09-03T03:12:40.090234+00:00,110005,NORTHSIDE HOSPITAL FORSYTH,SKIPPED,https://www.northside.com/dist/json/581954432-1376574277_northside-hospital-inc_standardcharges.json,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110005.jsonl,
2026-09-03T03:12:40.090234+00:00,110006,ST MARYS HOSPITAL AND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110006.jsonl,2,,,0.01
2026-09-03T03:12:40.090234+00:00,110008,NORTHSIDE HOSPITAL - CHEROKEE,SKIPPED,https://www.northside.com/dist/json/581954432-1225050396_northside-hospital-inc_standardcharges.json,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110008.jsonl,
2026-09-03T03:12:40.090234+00:00,110010,EMORY UNIVERSITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110010.jsonl,1,,,0.01
2026-09-03T03:12:40.090234+00:00,110011,TANNER MEDICAL CENTER - CARROLLTON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110011.jsonl,2,,,0.04
2026-09-03T03:12:40.090234+00:00,110016,WELLSTAR WEST GEORGIA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110016.jsonl,,,,0.03
2026-09-03T03:12:40.090234+00:00,110018,PIEDMONT NEWTON HOSPITAL,SKIPPED,https://www.piedmont.org/media/file/582155150_piedmont-newton-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\GA\110018.jsonl,
