date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.083358+00:00,120001,QUEENS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120001.jsonl,2,,,0.04
2026-09-03T03:12:40.083358+00:00,120004,THE QUEENS MEDICAL CENTER WAHIAWA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120004.jsonl,2,,,0.03
2026-09-03T03:12:40.083358+00:00,120005,HILO BENIOFF MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120005.jsonl,,,,0.03
2026-09-03T03:12:40.083358+00:00,120014,WILCOX MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120014.jsonl,2,,,0.09
2026-09-03T03:12:40.083358+00:00,120022,STRAUB BENIOFF MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120022.jsonl,2,,,0.09
2026-09-03T03:12:40.083358+00:00,120026,PALI MOMI MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120026.jsonl,2,,,0.09
2026-09-03T03:12:40.083358+00:00,120027,THE QUEEN'S MEDICAL CENTER - WEST OAHU,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\120027.jsonl,2,,,0.03
2026-09-03T03:12:40.083358+00:00,121305,LANAI COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\121305.jsonl,,,,0.01
2026-09-03T03:12:40.083358+00:00,121306,SAMUEL MAHELONA MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\121306.jsonl,,,,0.00
2026-09-03T03:12:40.083358+00:00,121307,HALE HO'OLA HAMAKUA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\121307.jsonl,,,,0.03
2026-09-03T03:12:40.083358+00:00,121308,KULA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\121308.jsonl,2,,,0.04
2026-09-03T03:12:40.083358+00:00,122001,LEAHI HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\122001.jsonl,,,,0.00
2026-09-03T03:12:40.083358+00:00,123025,REHABILITATION HOSPITAL OF THE PACIFIC,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\123025.jsonl,,,,0.00
2026-09-03T03:12:40.083358+00:00,123301,SHRINERS HOSPITAL FOR CHILDREN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\123301.jsonl,,,,0.01
2026-09-03T03:12:40.083358+00:00,124001,THE QUEEN’S MEDICAL CENTER – KAHI MOHALA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\HI\124001.jsonl,2,,,0.06
