date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.092326+00:00,160001,UNITYPOINT HEALTH MARSHALLTOWN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160001.jsonl,1,,,0.03
2026-09-03T03:12:40.092326+00:00,160013,UNITYPOINT HEALTH TRINITY MUSCATINE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160013.jsonl,1,,,0.04
2026-09-03T03:12:40.092326+00:00,160029,UI HEALTH CARE MEDICAL CENTER DOWNTOWN,SKIPPED,https://www.healthcare.uiowa.edu/marcom/uihc/billing/426004813_state-university-of-iowa_standardcharges.json.gz,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160029.jsonl,
2026-09-03T03:12:40.092326+00:00,160030,MARY GREELEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160030.jsonl,1,,,0.08
2026-09-03T03:12:40.092326+00:00,160032,MERCYONE NEWTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160032.jsonl,2,,,0.01
2026-09-03T03:12:40.092326+00:00,160033,GENESIS MEDICAL CENTER-DAVENPORT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160033.jsonl,2,,,0.09
2026-09-03T03:12:40.092326+00:00,160040,MERCYONE CEDAR FALLS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160040.jsonl,2,,,0.04
2026-09-03T03:12:40.092326+00:00,160045,UNITYPOINT HEALTH ST. LUKE'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160045.jsonl,1,,,0.07
2026-09-03T03:12:40.092326+00:00,160047,METHODIST JENNIE EDMUNDSON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160047.jsonl,2,,,0.04
2026-09-03T03:12:40.092326+00:00,160057,SOUTHEAST IOWA REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160057.jsonl,1,,,0.05
2026-09-03T03:12:40.092326+00:00,160058,UNIVERSITY OF IOWA HOSPITAL & CLINICS,SKIPPED,https://www.healthcare.uiowa.edu/marcom/uihc/billing/426004813_state-university-of-iowa_standardcharges.json.gz,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160058.jsonl,
2026-09-03T03:12:40.092326+00:00,160064,MERCYONE NORTH IOWA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160064.jsonl,2,,,0.02
2026-09-03T03:12:40.092326+00:00,160067,MERCYONE WATERLOO MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160067.jsonl,2,,,0.02
2026-09-03T03:12:40.092326+00:00,160069,MERCYONE DUBUQUE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160069.jsonl,2,,,0.03
2026-09-03T03:12:40.092326+00:00,160079,MERCY CEDAR RAPIDS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160079.jsonl,,,,0.04
2026-09-03T03:12:40.092326+00:00,160080,MERCYONE CLINTON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160080.jsonl,2,,,0.02
2026-09-03T03:12:40.092326+00:00,160082,UNITYPOINT HEALTH IOWA METHODIST MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160082.jsonl,1,,,0.07
2026-09-03T03:12:40.092326+00:00,160083,MERCYONE DES MOINES MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160083.jsonl,2,,,0.02
2026-09-03T03:12:40.092326+00:00,160089,OTTUMWA REGIONAL HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160089.jsonl,,,,0.01
2026-09-03T03:12:40.092326+00:00,160104,UNITYPOINT HEALTH TRINITY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160104.jsonl,1,,,0.03
2026-09-03T03:12:40.092326+00:00,160110,UNITYPOINT HEALTH ALLEN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160110.jsonl,1,,,0.06
2026-09-03T03:12:40.092326+00:00,160112,SPENCER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160112.jsonl,,,,0.01
2026-09-03T03:12:40.092326+00:00,160117,UNITYPOINT HEALTHCARE FINLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160117.jsonl,1,,,0.04
2026-09-03T03:12:40.092326+00:00,160124,LAKES REGIONAL HEALTHCARE,SKIPPED,https://www.avera.org/app/files/public/613f57be-d5e6-4ac9-84b7-e886a47e46a2/420680370_avera-holy-family-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160124.jsonl,
2026-09-03T03:12:40.092326+00:00,160146,UNITYPOINT HEALTH ST. LUKE'S,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160146.jsonl,1,,,0.03
2026-09-03T03:12:40.092326+00:00,160147,UNITYPOINT HEALTH GRINNELL REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160147.jsonl,1,,,0.03
2026-09-03T03:12:40.092326+00:00,160153,UNITYPOINT HEALTH ST. LUKE'S DOWNTOWN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\160153.jsonl,1,,,0.04
2026-09-03T03:12:40.092326+00:00,161301,IOWA SPECIALTY HOSPITAL - BELMOND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\161301.jsonl,,,,0.02
2026-09-03T03:12:40.092326+00:00,161302,IOWA SPECIALTY HOSPITAL-CLARION,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IA\161302.jsonl,,,,0.03
