date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.086036+00:00,130003,ST. JOSEPH REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130003.jsonl,,,,0.02
2026-09-03T03:12:40.086036+00:00,130006,ST. LUKE'S BOISE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130006.jsonl,,,,0.04
2026-09-03T03:12:40.086036+00:00,130018,EASTERN IDAHO REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130018.jsonl,2,,,0.08
2026-09-03T03:12:40.086036+00:00,130025,MADISON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130025.jsonl,,,,0.03
2026-09-03T03:12:40.086036+00:00,130049,KOOTENAI HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130049.jsonl,2,,,0.03
2026-09-03T03:12:40.086950+00:00,130063,TREASURE VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130063.jsonl,,,,0.00
2026-09-03T03:12:40.086950+00:00,130066,NORTHWEST SPECIALTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130066.jsonl,,,,0.01
2026-09-03T03:12:40.086950+00:00,130071,ST. LUKE'S NAMPA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130071.jsonl,,,,0.07
2026-09-03T03:12:40.086950+00:00,130073,GROVE CREEK MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130073.jsonl,,,,0.04
2026-09-03T03:12:40.086950+00:00,130074,IDAHO FALLS COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\130074.jsonl,,,,0.03
2026-09-03T03:12:40.086950+00:00,131301,BOUNDARY COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131301.jsonl,,,,0.01
2026-09-03T03:12:40.086950+00:00,131304,POWER COUNTY HOSPITAL DISTRICT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131304.jsonl,,,,0.01
2026-09-03T03:12:40.086950+00:00,131305,STEELE MEMORIAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131305.jsonl,,,,0.02
2026-09-03T03:12:40.086950+00:00,131307,WEISER MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131307.jsonl,,,,0.01
2026-09-03T03:12:40.086950+00:00,131309,CARIBOU MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131309.jsonl,,,,0.01
2026-09-03T03:12:40.086950+00:00,131310,ST. LUKE'S JEROME MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131310.jsonl,2,,,0.04
2026-09-03T03:12:40.086950+00:00,131311,ST. LUKE'S ELMORE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131311.jsonl,,,,0.06
2026-09-03T03:12:40.086950+00:00,131313,TETON VALLEY HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131313.jsonl,,,,0.01
2026-09-03T03:12:40.086950+00:00,131314,SHOSHONE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\ID\131314.jsonl,,,,0.04
