date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.120494+00:00,070124,MC DONOUGH DISTRICT HOSPITAL,SKIPPED,https://www.mdh.org/documents/content/McDonough-District-Hospital.NPI-1669420766)-CDM-Pricing-Transparency-070124-update.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\070124.jsonl,
2026-09-03T03:12:40.120494+00:00,140001,GRAHAM HOSPITAL,SKIPPED,https://www.grahamhealthsystem.org/docs/default-source/financial-assistance/hospital-chargemaster-2023.xlsx?sfvrsn=8e5ecc27_1/%20Hospital-Chargemaster-2023,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140001.jsonl,
2026-09-03T03:12:40.120494+00:00,140002,ALTON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140002.jsonl,,,,0.02
2026-09-03T03:12:40.120494+00:00,140008,GOTTLEB MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140008.jsonl,1,,,0.06
2026-09-03T03:12:40.120494+00:00,140011,SIH HERRIN HOSPITAL,SKIPPED,https://www.sih.net/-/media/files/patients-and-visitors/price-transparency/2025/370618939_1528158573_1225122047_southernillinoishospitalservices_standardcharges.json,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140011.jsonl,
2026-09-03T03:12:40.120494+00:00,140012,OSF SAINT KATHARINE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140012.jsonl,,,,0.01
2026-09-03T03:12:40.120494+00:00,140013,CARLE HEALTH PROCTOR HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140013.jsonl,1,,,0.06
2026-09-03T03:12:40.120494+00:00,140015,BLESSING HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140015.jsonl,1,,,0.08
2026-09-03T03:12:40.120494+00:00,140018,MOUNT SINAI HOSPITAL,SKIPPED,https://standardcharges.blob.core.windows.net/mshstandardcharges/361509000_MSH_MOUNT%20SINAI%20HOSPITAL%20MEDICAL%20CENTER_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140018.jsonl,
2026-09-03T03:12:40.120494+00:00,140029,RUSH COPLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140029.jsonl,,,,0.02
2026-09-03T03:12:40.120494+00:00,140030,ADVOCATE SHERMAN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140030.jsonl,1,,,0.08
2026-09-03T03:12:40.120494+00:00,140032,HSHS ST ANTHONYS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IL\140032.jsonl,,,,0.02
