date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.110714+00:00,005054,RIVERVIEW HEALTH NOBLESVILLE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\005054.jsonl,,,,0.02
2026-09-03T03:12:40.110714+00:00,150001,JOHNSON MEMORIAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Johnson_V3.aspx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150001.jsonl,
2026-09-03T03:12:40.110714+00:00,150002,METHODIST HOSPITALS NORTHLAKE CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150002.jsonl,2,,,0.03
2026-09-03T03:12:40.110714+00:00,150005,HENDRICKS REGIONAL HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150005.jsonl,,,,0.05
2026-09-03T03:12:40.110714+00:00,150007,COMMUNITY HOWARD REGIONAL HEALTH,SKIPPED,https://media.ecommunity.com/PricingTransparency/Community_Howard_Regional_Health.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150007.jsonl,
2026-09-03T03:12:40.110714+00:00,150008,ST CATHERINE HOSPITAL,SKIPPED,https://www.powershealth.org/-/media/files/pricetransparency/351738708_st-catherine-hospital_standardcharges.ashx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150008.jsonl,
2026-09-03T03:12:40.110714+00:00,150010,ASCENSION ST. VINCENT KOKOMO,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150010.jsonl,2,,,0.05
2026-09-03T03:12:40.110714+00:00,150011,MARION GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150011.jsonl,2,,,0.02
2026-09-03T03:12:40.110714+00:00,150012,MISHAWAKA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150012.jsonl,,,,0.02
2026-09-03T03:12:40.110714+00:00,150017,LUTHERAN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150017.jsonl,2,,,0.04
2026-09-03T03:12:40.110714+00:00,150018,ELKHART GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150018.jsonl,1,,,0.05
2026-09-03T03:12:40.110714+00:00,150021,PARKVIEW REGIONAL MEDICAL CENTER,SKIPPED,https://www.parkview.com/-/media/parkview-media/file/2024_12-december/350868085_parkview-regional-medical-center_standardcharges.ashx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150021.jsonl,
2026-09-03T03:12:40.110714+00:00,150023,UNION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150023.jsonl,2,,,0.02
2026-09-03T03:12:40.110714+00:00,150026,GOSHEN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\IN\150026.jsonl,2,,,0.03
