date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.096193+00:00,121125,SUMMIT SURGICAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\121125.jsonl,,,,0.02
2026-09-03T03:12:40.096193+00:00,170006,MERCY HOSPITAL PITTSBURG,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170006.jsonl,,,,0.04
2026-09-03T03:12:40.096193+00:00,170009,SAINT JOHN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170009.jsonl,,,,0.04
2026-09-03T03:12:40.096193+00:00,170012,SALINA REGIONAL HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170012.jsonl,,,,0.02
2026-09-03T03:12:40.096193+00:00,170013,HAYS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170013.jsonl,,,,0.01
2026-09-03T03:12:40.096193+00:00,170014,ADVENTHEALTH OTTAWA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170014.jsonl,2,,,0.03
2026-09-03T03:12:40.096193+00:00,170016,THE UNIVERSITY OF KANSAS HEALTH SYSTEM ST. FRANCIS CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170016.jsonl,,,,0.02
2026-09-03T03:12:40.096193+00:00,170020,HUTCHINSON REGIONAL MEDICAL CENTER INC,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170020.jsonl,2,,,0.01
2026-09-03T03:12:40.096193+00:00,170023,COMMONSPIRIT ST. CATHERINE HOSPITAL - GARDEN CITY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170023.jsonl,2,,,0.05
2026-09-03T03:12:40.096193+00:00,170027,PRATT REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170027.jsonl,,,,0.02
2026-09-03T03:12:40.096193+00:00,170040,"UNIVERSITY OF KANSAS HOSPITAL MAIN CAMPUS, BELL HOSPITAL TOWER",SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170040.jsonl,2,,,0.06
2026-09-03T03:12:40.096193+00:00,170049,OLATHE HOSPITAL,SKIPPED,https://www.olathehealth.org/wp-content/uploads/2025/04/48-0577664_Olathe-Medical-Center-Inc_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170049.jsonl,
2026-09-03T03:12:40.096193+00:00,170068,SOUTHWEST MEDICAL CENTER,SKIPPED,https://southwestmedicalcenter.pg.quadax.revenuemasters.com/cdm-files/480684878_southwest-medical-center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170068.jsonl,
2026-09-03T03:12:40.096193+00:00,170074,STORMONT VAIL HEALTH FLINT HILLS CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170074.jsonl,,,,0.01
2026-09-03T03:12:40.096193+00:00,170075,MERCY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170075.jsonl,,,,0.01
2026-09-03T03:12:40.096193+00:00,170086,STORMONT VAIL HEALTH TOPEKA CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170086.jsonl,,,,0.01
2026-09-03T03:12:40.096193+00:00,170103,NEWTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170103.jsonl,,,,0.01
2026-09-03T03:12:40.096193+00:00,170104,ADVENTHEALTH SHAWNEE MISSION,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170104.jsonl,2,,,0.06
2026-09-03T03:12:40.096193+00:00,170109,PAOLA HOSPITAL,SKIPPED,https://www.olathehealth.org/wp-content/uploads/2025/04/48-1155548_Miami-County-Medical-Center-Inc_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170109.jsonl,
2026-09-03T03:12:40.096193+00:00,170110,COMMONSPIRIT BOB WILSON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170110.jsonl,2,,,0.04
2026-09-03T03:12:40.096193+00:00,170120,LABETTE HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170120.jsonl,1,,,0.05
2026-09-03T03:12:40.096193+00:00,170122,ASCENSION VIA CHRISTI ST. FRANCIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170122.jsonl,,,,0.08
2026-09-03T03:12:40.096193+00:00,170123,WESLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170123.jsonl,2,,,0.09
2026-09-03T03:12:40.096193+00:00,170137,LAWRENCE MEMORIAL HOSPITAL,SKIPPED,https://www.lmh.org/app/files/public/6bdda36c-7b12-4f68-8cb8-0df37d3da1e4/48-6033703_The-Lawrence-Memorial-Hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170137.jsonl,
2026-09-03T03:12:40.096193+00:00,170142,ASCENSION VIA CHRISTI HOSPITAL IN MANHATTAN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170142.jsonl,,,,0.06
2026-09-03T03:12:40.096193+00:00,170145,COFFEYVILLE REGIONAL MEDICAL CENTER,SKIPPED,https://www.crmcinc.org/wp-content/uploads/2025/07/Price-Transparency-Export-Machine-Readable-File-2025V1.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170145.jsonl,
2026-09-03T03:12:40.096193+00:00,170146,PROVIDENCE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170146.jsonl,2,,,0.02
2026-09-03T03:12:40.096193+00:00,170150,SOUTH CENTRAL KS MED CENTER,SKIPPED,https://sckhealth.org/wp-content/uploads/2023/08/Price-List-08-29-2023.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170150.jsonl,
2026-09-03T03:12:40.096193+00:00,170175,COMMONSPIRIT ST. CATHERINE HOSPITAL - DODGE CITY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170175.jsonl,2,,,0.06
2026-09-03T03:12:40.096193+00:00,170176,OVERLAND PARK REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170176.jsonl,2,,,0.11
2026-09-03T03:12:40.096193+00:00,170182,MENORAH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170182.jsonl,2,,,0.11
2026-09-03T03:12:40.096193+00:00,170183,KANSAS SURGERY & RECOVERY CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170183.jsonl,,,,0.00
2026-09-03T03:12:40.096193+00:00,170186,KANSAS HEART HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170186.jsonl,,,,0.01
2026-09-03T03:12:40.096193+00:00,170187,SALINA SURGICAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170187.jsonl,,,,0.00
2026-09-03T03:12:40.096193+00:00,170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170188.jsonl,1,,,0.09
2026-09-03T03:12:40.096193+00:00,170191,UNIVERSITY OF KANSAS HEALTH SYSTEM GREAT BEND CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170191.jsonl,,,,0.02
2026-09-03T03:12:40.096193+00:00,170196,KANSAS SPINE & SPECIALTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KS\170196.jsonl,,,,0.01
