date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.099200+00:00,180001,ST. ELIZABETH FT. THOMAS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180001.jsonl,2,,,0.02
2026-09-03T03:12:40.099200+00:00,180004,OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180004.jsonl,,,,0.04
2026-09-03T03:12:40.099200+00:00,180005,HIGHLANDS ARH REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180005.jsonl,2,,,0.06
2026-09-03T03:12:40.099200+00:00,180009,KINGS DAUGHTERS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180009.jsonl,,,,0.02
2026-09-03T03:12:40.099200+00:00,180010,CHI HEALTH SAINT JOSEPH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180010.jsonl,,,,0.06
2026-09-03T03:12:40.099200+00:00,180011,CHI SAINT JOSEPH HOSPITAL LONDON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180011.jsonl,,,,0.04
2026-09-03T03:12:40.099200+00:00,180012,BAPTIST HEALTH HARDIN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180012.jsonl,2,,,0.02
2026-09-03T03:12:40.099200+00:00,180013,COMMONWEALTH REGIONAL SPECIALTY HOSPITAL,SKIPPED,https://medcenterhealth.org/charges/crsh/,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180013.jsonl,
2026-09-03T03:12:40.099200+00:00,180013,THE MEDICAL CENTER AT BOWLING GREEN,SKIPPED,https://medcenterhealth.org/charges/mcbg/,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180013.jsonl,
2026-09-03T03:12:40.099200+00:00,180016,UOFL HEALTH - SHELBYVILLE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\KY\180016.jsonl,2,,,0.01
