date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.098203+00:00,220002,MOUNT AUBURN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220002.jsonl,,,,0.02
2026-09-03T03:12:40.098203+00:00,220008,STURDY MEMORIAL HOSPITAL,SKIPPED,https://www.sturdyhealth.org/app/files/public/1c200832-86f8-4295-b5a2-038937879590/04-2768252_Sturdy-Memorial-Hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220008.jsonl,
2026-09-03T03:12:40.098203+00:00,220010,MERRIMACK HEALTH LAWRENCE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220010.jsonl,,,,0.05
2026-09-03T03:12:40.098203+00:00,220012,CAPE COD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220012.jsonl,,,,0.02
2026-09-03T03:12:40.098203+00:00,220015,COOLEY DICKINSON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220015.jsonl,,,,0.01
2026-09-03T03:12:40.098203+00:00,220016,BAYSTATE FRANKLIN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220016.jsonl,,,,0.02
2026-09-03T03:12:40.098203+00:00,220019,UMASS MEMORIAL HOSPITAL - HARRINGTON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220019.jsonl,,,,0.02
2026-09-03T03:12:40.098203+00:00,220020,SAINT ANNE'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220020.jsonl,,,,0.04
2026-09-03T03:12:40.098203+00:00,220021,SHG ST. LUKE'S HOSPITAL,SKIPPED,https://www.southcoast.org/wp-content/uploads/222592333_st-lukes-hospital_standardcharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220021.jsonl,
2026-09-03T03:12:40.098203+00:00,220024,HOLYOKE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220024.jsonl,,,,0.03
2026-09-03T03:12:40.098203+00:00,220029,ANNA JAQUES HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220029.jsonl,,,,0.01
2026-09-03T03:12:40.098203+00:00,220030,BAYSTATE WING HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220030.jsonl,,,,0.02
2026-09-03T03:12:40.098203+00:00,220031,BOSTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MA\220031.jsonl,2,,,0.05
