date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.093670+00:00,210001,MERITUS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210001.jsonl,,,,0.06
2026-09-03T03:12:40.093670+00:00,210002,UNIVERSITY OF MARYLAND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210002.jsonl,2,,,0.05
2026-09-03T03:12:40.093670+00:00,210003,UNIVERSITY OF MARYLAND CAPITAL REGION MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210003.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210004,HOLY CROSS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210004.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210005,FREDERICK MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210005.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210008,MERCY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210008.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210009,THE JOHNS HOPKINS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210009.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210011,ASCENSION SAINT AGNES HOSPITAL,SKIPPED,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/md-csv/520591657_st-agnes-healthcare-inc_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210011.jsonl,
2026-09-03T03:12:40.093670+00:00,210012,SINAI HOSPITAL OF BALTIMORE,SKIPPED,https://www.lifebridgehealth.org/sites/default/files/2025-04/52-0486540_Sinai-Hospital-of-Baltimore_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210012.jsonl,
2026-09-03T03:12:40.093670+00:00,210015,MEDSTAR FRANKLIN SQUARE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210015.jsonl,2,,,0.03
2026-09-03T03:12:40.093670+00:00,210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,SKIPPED,https://www.adventisthealthcare.com/app/files/public/91919297-0df2-4ab4-b788-71160672291c/84-2670875_AdventistHealthCareFortWashingtonMedicalCenter_StandardCharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210016.jsonl,
2026-09-03T03:12:40.093670+00:00,210017,GARRETT REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210017.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210019,TIDALHEALTH PENINSULA REGIONAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210019.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210023,LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210023.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210024,MEDSTAR UNION MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210024.jsonl,2,,,0.02
2026-09-03T03:12:40.093670+00:00,210027,UPMC WESTERN MARYLAND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210027.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210028,MEDSTAR SAINT MARY'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210028.jsonl,2,,,0.02
2026-09-03T03:12:40.093670+00:00,210029,JOHNS HOPKINS BAYVIEW MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210029.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210030,UNIVERSITY OF MARYLAND SHORE MEDICAL CTR AT CHESTERTOWN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210030.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210032,CHRISTIANACARE UNION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210032.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210033,CARROLL HOSPITAL CENTER,SKIPPED,https://www.lifebridgehealth.org/sites/default/files/2025-04/52-0486540_Sinai-Hospital-of-Baltimore_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210033.jsonl,
2026-09-03T03:12:40.093670+00:00,210034,MEDSTAR HARBOR HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210034.jsonl,2,,,0.02
2026-09-03T03:12:40.093670+00:00,210035,UNIVERSITY OF MARYLAND CHARLES REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210035.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210037,UNIVERSITY OF MARYLAND SHORE MEDICAL CENTER AT EASTON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210037.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210038,UNIVERSITY OF MARYLAND MEDICAL CENTER MIDTOWN CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210038.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210039,CALVERT HEALTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210039.jsonl,,,,0.01
2026-09-03T03:12:40.093670+00:00,210040,NORTHWEST HOSPITAL CENTER,SKIPPED,https://www.lifebridgehealth.org/sites/default/files/2025-04/52-0486540_Sinai-Hospital-of-Baltimore_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210040.jsonl,
2026-09-03T03:12:40.093670+00:00,210043,UNIVERSITY OF MARYLAND BALTIMORE WASHINGTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210043.jsonl,,,,0.02
2026-09-03T03:12:40.093670+00:00,210044,GREATER BALTIMORE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MD\210044.jsonl,2,,,0.02
