date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.123927+00:00,240001,NORTH MEMORIAL HEALTH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240001.jsonl,,,,0.02
2026-09-03T03:12:40.123927+00:00,240002,ESSENTIA HEALTH-ST. MARY'S MEDICAL CENTER DULUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240002.jsonl,2,,,0.09
2026-09-03T03:12:40.123927+00:00,240004,HENNEPIN COUNTY MEDICAL CENTER CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240004.jsonl,1,,,0.14
2026-09-03T03:12:40.124932+00:00,240006,OLMSTED MEDICAL CENTER,SKIPPED,https://www.olmmed.org/410855367_Olmsted-Medical-Center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240006.jsonl,
2026-09-03T03:12:40.124932+00:00,240010,MAYO CLINIC HOSPITAL ROCHESTER ST MARY'S CAMPUS,SKIPPED,https://mcorgstatic.blob.core.windows.net/cms-price/410944601_mayo-clinic-hospital-rochester_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240010.jsonl,
2026-09-03T03:12:40.124932+00:00,240014,NORTHFIELD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240014.jsonl,,,,0.01
2026-09-03T03:12:40.124932+00:00,240018,MAYO CLINIC HEALTH SYSTEM RED WING,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240018.jsonl,2,,,0.12
2026-09-03T03:12:40.124932+00:00,240019,ESSENTIA HEALTH DULUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240019.jsonl,2,,,0.07
2026-09-03T03:12:40.124932+00:00,240022,SANFORD WORTHINGTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240022.jsonl,1,,,0.05
2026-09-03T03:12:40.124932+00:00,240030,ALOMERE HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240030.jsonl,2,,,0.02
2026-09-03T03:12:40.124932+00:00,240036,CENTRACARE ST CLOUD HOSPITAL,SKIPPED,https://www.centracare.com/app/files/public/f420426d-7940-495f-88ca-aba344457e49/920754820_centracare-benson-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240036.jsonl,
2026-09-03T03:12:40.124932+00:00,240038,ALLINA HEALTH UNITED HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240038.jsonl,,,,0.03
2026-09-03T03:12:40.124932+00:00,240040,FAIRVIEW RANGE MEDICAL CENTER,SKIPPED,https://www.fvfiles.com/411293970_range-regional-health-services_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240040.jsonl,
2026-09-03T03:12:40.124932+00:00,240043,MAYO CLINIC HEALTH SYSTEM ALBERT LEA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240043.jsonl,2,,,0.03
2026-09-03T03:12:40.124932+00:00,240044,WINONA HEALTH SERVICES,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240044.jsonl,,,,0.02
2026-09-03T03:12:40.124932+00:00,240047,ASPIRUS ST LUKES HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240047.jsonl,,,,0.03
2026-09-03T03:12:40.124932+00:00,240050,M HEALTH FAIRVIEW LAKES MEDICAL CENTER - WYOMING,SKIPPED,https://www.fvfiles.com/410991680-1083692941_fairview-health-services_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240050.jsonl,
2026-09-03T03:12:40.124932+00:00,240052,LAKE REGION HEALTHCARE FERGUS FALLS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240052.jsonl,2,,,0.06
2026-09-03T03:12:40.124932+00:00,240053,METHODIST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240053.jsonl,2,,,0.08
2026-09-03T03:12:40.124932+00:00,240056,RIDGEVIEW MEDICAL CENTER,SKIPPED,https://www.ridgeviewmedical.org/app/files/public/a0e85442-7934-46a5-92c3-5375599465e9/311667875_ridgeview-medical-center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240056.jsonl,
2026-09-03T03:12:40.124932+00:00,240057,ABBOTT NORTHWESTERN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MN\240057.jsonl,,,,0.02
