date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.117251+00:00,260001,MERCY HOSPITAL JOPLIN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260001.jsonl,,,,0.02
2026-09-03T03:12:40.117251+00:00,260005,SSM HEALTH ST JOSEPH HEALTH CENTER -SAINT CHARLES,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260005.jsonl,,,,0.05
2026-09-03T03:12:40.117251+00:00,260006,MOSAIC MEDICAL CENTER - ST. JOSEPH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260006.jsonl,1,,,0.08
2026-09-03T03:12:40.117251+00:00,260011,SSM HEALTH ST. MARY'S HOSPITAL - JEFFERSON CITY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260011.jsonl,,,,0.02
2026-09-03T03:12:40.117251+00:00,260017,PHELPS HEALTH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260017.jsonl,,,,0.04
2026-09-03T03:12:40.117251+00:00,260022,NORTHEAST REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260022.jsonl,,,,0.01
2026-09-03T03:12:40.117251+00:00,260023,MERCY HOSPITAL JEFFERSON,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/430687077_mercy-hospital-jefferson_standardcharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260023.jsonl,
2026-09-03T03:12:40.117251+00:00,260024,TEXAS COUNTY MEMORIAL HOSPITAL,SKIPPED,https://www.tcmh.org/wp-content/uploads/2023/05/CHARGEMASTER-2023_01_01.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260024.jsonl,
2026-09-03T03:12:40.117251+00:00,260025,HANNIBAL REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260025.jsonl,1,,,0.13
2026-09-03T03:12:40.117251+00:00,260032,BARNES-JEWISH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260032.jsonl,2,,,0.03
2026-09-03T03:12:40.117251+00:00,260034,BATES COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260034.jsonl,,,,0.01
2026-09-03T03:12:40.117251+00:00,260040,COX MEDICAL CENTER SOUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260040.jsonl,,,,0.02
2026-09-03T03:12:40.117251+00:00,260040,COX NORTH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260040.jsonl,,,,0.02
2026-09-03T03:12:40.117251+00:00,260047,CAPITAL REGION MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260047.jsonl,2,,,0.06
2026-09-03T03:12:40.117251+00:00,260048,UNIVERSITY HEALTH TRUMAN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260048.jsonl,,,,0.03
2026-09-03T03:12:40.117251+00:00,260050,MOSAIC MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260050.jsonl,1,,,0.08
2026-09-03T03:12:40.117251+00:00,260059,MERCY HOSPITAL LEBANON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260059.jsonl,,,,0.02
2026-09-03T03:12:40.117251+00:00,260061,NEVADA REGIONAL MEDICAL CENTER,SKIPPED,https://www.nrmchealth.com/pricing-transparency-mrf-url,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260061.jsonl,
2026-09-03T03:12:40.117251+00:00,260062,SAINT LUKE'S NORTH HOSPITAL - BARRY ROAD,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260062.jsonl,,,,0.01
2026-09-03T03:12:40.117251+00:00,260062,SAINT LUKE'S NORTH HOSPITAL - SMITHVILLE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260062.jsonl,,,,0.01
2026-09-03T03:12:40.117251+00:00,260065,MERCY HOSPITAL SPRINGFIELD,SKIPPED,https://www.mercy.net/content/dam/mercy/en/web-assets/charge-files/440552485_mercy-hospital-springfield_standardcharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260065.jsonl,
2026-09-03T03:12:40.117251+00:00,260070,PEMISCOT COUNTY MEMORIAL HOSPITAL,SKIPPED,https://pemiscotmhs.pg.revenuemasters.com/cdm-files/436004544_pemiscot-memorial-health-system_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260070.jsonl,
2026-09-03T03:12:40.117251+00:00,260074,MOBERLY REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260074.jsonl,,,,0.01
2026-09-03T03:12:40.117251+00:00,260077,KINDRED HOSPITAL ST LOUIS SOUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260077.jsonl,,,,0.01
2026-09-03T03:12:40.117251+00:00,260077,MERCY HOSPITAL SOUTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260077.jsonl,,,,0.01
2026-09-03T03:12:40.118258+00:00,260078,OZARKS MEDICAL CENTER,SKIPPED,https://www.ozarkshealthcare.com/app/files/public/b5c4bc68-9382-4718-b559-cf768eb352c4/OZH-Price-Transparency-2025-v2.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260078.jsonl,
2026-09-03T03:12:40.118258+00:00,260081,SSM HEALTH ST. CLARE HOSPITAL - FENTON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260081.jsonl,,,,0.10
2026-09-03T03:12:40.118258+00:00,260085,ST. JOSEPH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260085.jsonl,2,,,0.02
2026-09-03T03:12:40.118258+00:00,260091,SSM HEALTH ST. MARY'S HOSPITAL ST LOUIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260091.jsonl,,,,0.05
2026-09-03T03:12:40.118258+00:00,260094,COX MEDICAL CENTER BRANSON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260094.jsonl,,,,0.02
2026-09-03T03:12:40.118258+00:00,260097,WESTERN MISSOURI MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260097.jsonl,,,,0.02
2026-09-03T03:12:40.118258+00:00,260102,UNIVERSITY HEALTH LAKEWOOD MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260102.jsonl,,,,0.02
2026-09-03T03:12:40.118258+00:00,260104,SSM HEALTH DEPAUL HOSPITAL - ST. LOUIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260104.jsonl,,,,0.02
2026-09-03T03:12:40.118258+00:00,260105,SSM HEALTH ST. LOUIS UNIVERSITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260105.jsonl,,,,0.06
2026-09-03T03:12:40.118258+00:00,260108,MISSOURI BAPTIST MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260108.jsonl,2,,,0.02
2026-09-03T03:12:40.118258+00:00,260110,MERCY HOSPITAL SOUTHEAST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260110.jsonl,,,,0.01
2026-09-03T03:12:40.118258+00:00,260113,MISSOURI DELTA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260113.jsonl,,,,0.01
2026-09-03T03:12:40.118258+00:00,260119,POPLAR BLUFF REGIONAL MEDICAL CENTER - OAK GROVE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260119.jsonl,,,,0.06
2026-09-03T03:12:40.118258+00:00,260137,FREEMAN HOSPITAL WEST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260137.jsonl,,,,0.02
2026-09-03T03:12:40.118258+00:00,260138,SAINT LUKE'S HOSPITAL KANSAS CITY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260138.jsonl,2,,,0.04
2026-09-03T03:12:40.118258+00:00,260141,UNIVERSITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260141.jsonl,2,,,0.06
2026-09-03T03:12:40.118396+00:00,260142,FITZGIBBON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260142.jsonl,,,,0.02
2026-09-03T03:12:40.118396+00:00,260162,BARNES-JEWISH WEST COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260162.jsonl,,,,0.02
2026-09-03T03:12:40.118396+00:00,260163,PARKLAND HEALTH CENTER-FARMINGTON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260163.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,260175,GOLDEN VALLEY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260175.jsonl,,,,0.05
2026-09-03T03:12:40.118396+00:00,260177,LIBERTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260177.jsonl,1,,,0.05
2026-09-03T03:12:40.118396+00:00,260179,ST. LUKE'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260179.jsonl,2,,,0.03
2026-09-03T03:12:40.118396+00:00,260180,CHRISTIAN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260180.jsonl,,,,0.02
2026-09-03T03:12:40.118396+00:00,260186,LAKE REGIONAL HEALTH SYSTEM,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260186.jsonl,,,,0.04
2026-09-03T03:12:40.118396+00:00,260191,BARNES-JEWISH ST. PETERS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260191.jsonl,2,,,0.02
2026-09-03T03:12:40.118396+00:00,260193,ST. MARY'S MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260193.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,260195,CITIZENS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260195.jsonl,,,,0.08
2026-09-03T03:12:40.118396+00:00,260198,SSM HEALTH ST. JOSEPH HOSPITAL-WENTZVILLE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260198.jsonl,,,,0.03
2026-09-03T03:12:40.118396+00:00,260200,SSM HEALTH REHABILITATION HOSPITAL - LAKE SAINT LOUIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260200.jsonl,,,,0.00
2026-09-03T03:12:40.118396+00:00,260200,SSM HEALTH ST. JOSEPH HOSPITAL - LAKE SAINT LOUIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260200.jsonl,,,,0.00
2026-09-03T03:12:40.118396+00:00,260216,SAINT LUKE'S EAST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260216.jsonl,2,,,0.02
2026-09-03T03:12:40.118396+00:00,260219,PROGRESS WEST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\260219.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261301,ELLETT MEMORIAL HOSPITAL,SKIPPED,https://ellettmemorial.com/_common/documents/patients/431903362_ellett-memorial-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261301.jsonl,
2026-09-03T03:12:40.118396+00:00,261302,MADISON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261302.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261303,COMMUNITY HOSPITAL FAIRFAX,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261303.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261305,PUTNAM COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261305.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261306,SULLIVAN COUNTY MEMORIAL HOSPITAL,SKIPPED,http://scmhospital.org/wp-content/uploads/2022/04/SCMH_Chargemaster_updated_April_2_2021.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261306.jsonl,
2026-09-03T03:12:40.118396+00:00,261307,PERSHING MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261307.jsonl,,,,0.05
2026-09-03T03:12:40.118396+00:00,261308,WASHINGTON COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261308.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261309,WRIGHT MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261309.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261310,SCOTLAND COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261310.jsonl,,,,0.04
2026-09-03T03:12:40.118396+00:00,261311,MERCY HOSPITAL PERRY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261311.jsonl,,,,0.02
2026-09-03T03:12:40.118396+00:00,261312,HARRISON COUNTY COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261312.jsonl,1,,,0.09
2026-09-03T03:12:40.118396+00:00,261313,SAMARITAN HOSPITAL,SKIPPED,https://live.cdmpi.org/Security/CDMPortalAuth/6a0c905a-f393-4e63-a95e-8d546a25aa13,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261313.jsonl,
2026-09-03T03:12:40.118396+00:00,261314,HERMANN AREA DISTRICT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261314.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261315,PARKLAND HEALTH CENTER-BONNE TERRE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261315.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261317,MERCY HOSPITAL CASSVILLE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261317.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261318,SALEM MEMORIAL DISTRICT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261318.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261319,MERCY HOSPITAL LINCOLN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261319.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261320,LAFAYETTE REGIONAL HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261320.jsonl,2,,,0.10
2026-09-03T03:12:40.118396+00:00,261321,HEDRICK MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261321.jsonl,2,,,0.02
2026-09-03T03:12:40.118396+00:00,261322,EXCELSIOR SPRINGS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261322.jsonl,,,,0.00
2026-09-03T03:12:40.118396+00:00,261324,CASS REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261324.jsonl,1,,,0.04
2026-09-03T03:12:40.118396+00:00,261325,COX BARTON COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261325.jsonl,,,,0.02
2026-09-03T03:12:40.118396+00:00,261327,RAY COUNTY MEMORIAL HOSPITAL,SKIPPED,https://rayhealthcare.org/wp-content/uploads/2022/09/PRICE_TRANSPARENCY.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261327.jsonl,
2026-09-03T03:12:40.118396+00:00,261328,MOSAIC MEDICAL CENTER ALBANY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261328.jsonl,1,,,0.07
2026-09-03T03:12:40.118396+00:00,261329,COX MONETT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261329.jsonl,,,,0.02
2026-09-03T03:12:40.118396+00:00,261330,STE GENEVIEVE COUNTY MEMORIAL HOSPITAL,SKIPPED,https://genevievecountymemorialhospital.pg.quadax.revenuemasters.com/cdm-files/430915730_ste-genevieve-county-memorial-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261330.jsonl,
2026-09-03T03:12:40.118396+00:00,261331,FREEMAN NEOSHO HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261331.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261332,CARROLL COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261332.jsonl,,,,0.01
2026-09-03T03:12:40.118396+00:00,261333,PIKE COUNTY MEMORIAL HOSPITAL,SKIPPED,https://www.pcmh-mo.org/wp-content/uploads/2021/02/FINAL-PCMH-Standard-Charges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MO\261333.jsonl,
