date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.113746+00:00,250001,THE UNIVERSITY OF MISSISSIPPI MEDICAL CENTER UMMC,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250001.jsonl,2,,,0.14
2026-09-03T03:12:40.113746+00:00,250002,NORTH MS MEDICAL CENTER - IUKA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250002.jsonl,,,,0.02
2026-09-03T03:12:40.113746+00:00,250004,NORTH MISSISSIPPI MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250004.jsonl,,,,0.02
2026-09-03T03:12:40.114746+00:00,250006,BAPTIST MEMORIAL HOSPITAL - UNION COUNTY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250006.jsonl,,,,0.02
2026-09-03T03:12:40.114746+00:00,250007,MEMORIAL HOSPITAL BILOXI,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250007.jsonl,2,,,0.05
2026-09-03T03:12:40.114746+00:00,250009,MAGNOLIA REGIONAL HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250009.jsonl,,,,0.02
2026-09-03T03:12:40.114746+00:00,250018,JASPER GENERAL HOSPITAL,SKIPPED,https://docs.google.com/spreadsheets/d/10RAcULAd8tf3T4lyBor4qjQ729HRhM-rq9dj9Milt10/edit?gid=0#gid=0,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250018.jsonl,
2026-09-03T03:12:40.114746+00:00,250019,MEMORIAL HOSPITAL AT GULFPORT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250019.jsonl,2,,,0.04
2026-09-03T03:12:40.114746+00:00,250020,NORTH MS MEDICAL CENTER - EUPORA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250020.jsonl,,,,0.02
2026-09-03T03:12:40.114746+00:00,250027,WINSTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250027.jsonl,,,,0.05
2026-09-03T03:12:40.114746+00:00,250031,MERIT HEALTH RIVER REGION,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250031.jsonl,,,,0.02
2026-09-03T03:12:40.114746+00:00,250034,BAPTIST MEMORIAL HOSPITAL NORTH MS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250034.jsonl,,,,0.05
2026-09-03T03:12:40.114746+00:00,250038,UMMC MADISON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250038.jsonl,2,,,0.14
2026-09-03T03:12:40.114746+00:00,250040,PASCAGOULA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250040.jsonl,,,,0.03
2026-09-03T03:12:40.114746+00:00,250042,NORTHWEST REGIONAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250042.jsonl,,,,0.01
2026-09-03T03:12:40.114746+00:00,250043,NESHOBA GENERAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250043.jsonl,,,,0.01
2026-09-03T03:12:40.114746+00:00,250048,ST. DOMINIC HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250048.jsonl,2,,,0.02
2026-09-03T03:12:40.114746+00:00,250049,BEACHAM MEMORIAL HOSPITAL,SKIPPED,https://freedombehavioral.com/wp-content/uploads/2025/03/811097331_beacham_memorial_hospital_standardcharges28.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MS\250049.jsonl,
