date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.103199+00:00,270012,BENEFIS HEALTH CARE (EAST CAMPUS),SKIPPED,https://www.benefis.org/app/files/public/84debe18-3084-4d06-8ffb-44d809073c11/473448483_BenefisCommunityHospitalsInc_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\270012.jsonl,
2026-09-03T03:12:40.103199+00:00,270014,PROVIDENCE ST PATRICK HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\270014.jsonl,,,,0.02
2026-09-03T03:12:40.103199+00:00,270051,LOGAN HEALTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\270051.jsonl,,,,0.02
2026-09-03T03:12:40.103199+00:00,271306,MOUNTAINVIEW MEDICAL CENTER,SKIPPED,https://www.mvmc.org/documents/content/977_CHARGEMASTER2022_20220131162614.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271306.jsonl,
2026-09-03T03:12:40.103199+00:00,271307,BENEFIS TETON MEDICAL CENTER,SKIPPED,https://www.benefis.org/app/files/public/84debe18-3084-4d06-8ffb-44d809073c11/473448483_BenefisCommunityHospitalsInc_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271307.jsonl,
2026-09-03T03:12:40.103199+00:00,271309,PRAIRIE COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271309.jsonl,,,,0.00
2026-09-03T03:12:40.103199+00:00,271311,BIG SANDY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271311.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271313,PIONEER MEDICAL CENTER - CAH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271313.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271314,DEER LODGE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271314.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271317,LIVINGSTON HEALTHCARE,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/Livingston.aspx#,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271317.jsonl,
2026-09-03T03:12:40.103199+00:00,271318,BARRETT HOSPITAL & HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271318.jsonl,,,,0.02
2026-09-03T03:12:40.103199+00:00,271321,WHEATLAND MEMORIAL HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271321.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271322,SHERIDAN MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271322.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271324,LOGAN HEALTH CONRAD,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271324.jsonl,,,,0.02
2026-09-03T03:12:40.103199+00:00,271325,ST LUKE COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271325.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271326,BEARTOOTH BILLINGS CLINIC,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271326.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271327,ROSEBUD HEALTH CARE CENTER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271327.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271331,MINERAL COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271331.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271332,GLENDIVE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271332.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271333,BILLINGS CLINIC BROADWATER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271333.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271334,LOGAN HEALTH CHESTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271334.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271336,LOGAN HEALTH WHITEFISH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271336.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271337,LOGAN HEALTH CUT BANK,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271337.jsonl,,,,0.00
2026-09-03T03:12:40.103199+00:00,271338,BIG HORN COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271338.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,271340,BITTERROOT HEALTH - DALY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271340.jsonl,,,,0.04
2026-09-03T03:12:40.103199+00:00,271343,PROVIDENCE ST JOSEPH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271343.jsonl,,,,0.02
2026-09-03T03:12:40.103199+00:00,271344,SIDNEY HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271344.jsonl,,,,0.05
2026-09-03T03:12:40.103199+00:00,271347,HOLY ROSARY HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\271347.jsonl,1,,,0.08
2026-09-03T03:12:40.103199+00:00,272001,ADVANCED CARE HOSPITAL OF MONTANA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\272001.jsonl,,,,0.01
2026-09-03T03:12:40.103199+00:00,274004,SHODAIR CHILDRENS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MT\274004.jsonl,,,,0.00
