date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.134272+00:00,340001,ATRIUM HEALTH CABARRUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340001.jsonl,2,,,0.10
2026-09-03T03:12:40.134272+00:00,340002,MISSION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340002.jsonl,13,,,0.29
2026-09-03T03:12:40.134272+00:00,340003,NORTHERN REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340003.jsonl,,,,0.01
2026-09-03T03:12:40.134272+00:00,340004,ATRIUM HEALTH WAKE FOREST BAPTIST HIGH POINT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340004.jsonl,1,,,0.09
2026-09-03T03:12:40.134272+00:00,340007,CONE HEALTH ANNIE PENN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340007.jsonl,2,,,0.03
2026-09-03T03:12:40.134272+00:00,340008,SCOTLAND MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340008.jsonl,,,,0.01
2026-09-03T03:12:40.134272+00:00,340010,WAYNE UNC HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340010.jsonl,2,,,0.08
2026-09-03T03:12:40.134272+00:00,340013,RUTHERFORD REGIONAL HEALTH SYSTEM,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340013.jsonl,,,,0.02
2026-09-03T03:12:40.134272+00:00,340014,NOVANT HEALTH FORSYTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340014.jsonl,2,,,0.07
2026-09-03T03:12:40.134272+00:00,340015,NOVANT HEALTH ROWAN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340015.jsonl,2,,,0.05
2026-09-03T03:12:40.134272+00:00,340016,HARRIS REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340016.jsonl,,,,0.02
2026-09-03T03:12:40.134272+00:00,340017,UNC HEALTH PARDEE,SKIPPED,https://rca.centaurihs.com/ptapp/#ba3c4e2c4a2e1f7ea210c970fc4319b1465e1ac06ec9ea1c4d6cfc8c1be9351c,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340017.jsonl,
2026-09-03T03:12:40.134272+00:00,340020,CENTRAL CAROLINA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340020.jsonl,,,,0.01
2026-09-03T03:12:40.134272+00:00,340021,ATRIUM HEALTH CLEVELAND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340021.jsonl,2,,,0.05
2026-09-03T03:12:40.134272+00:00,340023,ADVENTHEALTH HENDERSONVILLE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340023.jsonl,2,,,0.03
2026-09-03T03:12:40.134272+00:00,340024,SAMPSON REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340024.jsonl,,,,0.01
2026-09-03T03:12:40.134272+00:00,340027,UNC LENOIR HEALTH CARE,SKIPPED,https://rca.centaurihs.com/ptapp/#3903c4d6330984f9b7e84e01ab9e392c4786dfac56f8105778ef27c66cdf035,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340027.jsonl,
2026-09-03T03:12:40.134272+00:00,340028,CAPE FEAR VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340028.jsonl,,,,0.03
2026-09-03T03:12:40.134272+00:00,340030,DUKE UNIVERSITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340030.jsonl,2,,,0.03
2026-09-03T03:12:40.134272+00:00,340032,CAROMONT REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340032.jsonl,,,,0.02
2026-09-03T03:12:40.134272+00:00,340037,ATRIUM HEALTH KINGS MOUNTAIN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340037.jsonl,2,,,0.22
2026-09-03T03:12:40.134272+00:00,340038,ECU HEALTH BEAUFORT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340038.jsonl,2,,,0.03
2026-09-03T03:12:40.134272+00:00,340039,IREDELL MEMORIAL HOSPITAL,SKIPPED,https://res.cloudinary.com/dpmykpsih/raw/upload/iredell-health-system-site-359/media/r/8e24a90b6c444f498d9e8a8f2a618bcf/560591303_iredell-memorial-hospital_standardcharges_2024-final.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340039.jsonl,
2026-09-03T03:12:40.134272+00:00,340040,ECU HEALTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340040.jsonl,2,,,0.03
2026-09-03T03:12:40.134272+00:00,340041,CALDWELL MEMORIAL HOSPITAL,SKIPPED,https://rca.centaurihs.com/ptapp/#62bfdf8b1690285fcd35da91d1edbbbbf2c5721dcbbbd16e7e2e7b7d8de3e597,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NC\340041.jsonl,
