date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.108714+00:00,300001,CONCORD HOSPITAL,SKIPPED,https://www.concordhospital.org/app/files/public/7596681e-a594-49fb-8bd7-e41379e5fb2c/222594672_concord-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300001.jsonl,
2026-09-03T03:12:40.108714+00:00,300003,DARTMOUTH HITCHCOCK MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300003.jsonl,2,,,0.04
2026-09-03T03:12:40.108714+00:00,300005,CONCORD HOSPITAL LACONIA,SKIPPED,https://www.concordhospital.org/app/files/public/7596681e-a594-49fb-8bd7-e41379e5fb2c/222594672_concord-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300005.jsonl,
2026-09-03T03:12:40.108714+00:00,300011,ST JOSEPH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300011.jsonl,,,,0.01
2026-09-03T03:12:40.108714+00:00,300012,ELLIOT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300012.jsonl,,,,0.02
2026-09-03T03:12:40.108714+00:00,300012,NORTHEAST REHABILITATION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300012.jsonl,,,,0.09
2026-09-03T03:12:40.108714+00:00,300014,FRISBIE MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300014.jsonl,2,,,0.08
2026-09-03T03:12:40.108714+00:00,300017,PARKLAND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300017.jsonl,2,,,0.13
2026-09-03T03:12:40.108714+00:00,300018,WENTWORTH-DOUGLASS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300018.jsonl,,,,0.00
2026-09-03T03:12:40.108714+00:00,300019,CHESHIRE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NH\300019.jsonl,2,,,0.03
