date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.109714+00:00,320002,CHRISTUS ST. VINCENT REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320002.jsonl,2,,,0.07
2026-09-03T03:12:40.109714+00:00,320006,EASTERN NEW MEXICO MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320006.jsonl,,,,0.04
2026-09-03T03:12:40.109714+00:00,320009,LOVELACE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320009.jsonl,,,,0.02
2026-09-03T03:12:40.109714+00:00,320017,LOVELACE WOMENS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320017.jsonl,,,,0.09
2026-09-03T03:12:40.109714+00:00,320018,MEMORIAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320018.jsonl,2,,,0.02
2026-09-03T03:12:40.109714+00:00,320021,PRESBYTERIAN HOSPITAL,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954557,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320021.jsonl,
2026-09-03T03:12:40.109714+00:00,320022,PLAINS REGIONAL MEDICAL CENTER CLOVIS,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954558,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320022.jsonl,
2026-09-03T03:12:40.109714+00:00,320038,REHOBOTH MCKINLEY CHRISTIAN HEALTH CARE SERVICES,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320038.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,320067,GUADALUPE COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320067.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,320074,LOVELACE WESTSIDE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320074.jsonl,,,,0.02
2026-09-03T03:12:40.109714+00:00,320083,HEART HOSPITAL OF NEW MEXICO,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320083.jsonl,,,,0.08
2026-09-03T03:12:40.109714+00:00,320085,MOUNTAIN VIEW REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320085.jsonl,,,,0.02
2026-09-03T03:12:40.109714+00:00,320086,LOVELACE REGIONAL HOSPITAL ROSWELL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320086.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,320087,CHRISTUS ST. VINCENT ORTHOPAEDIC SPECIALTY CLINIC,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320087.jsonl,2,,,0.08
2026-09-03T03:12:40.109714+00:00,320090,PRESBYTERIAN SANTA FE MEDICAL CENTER,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954559,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\320090.jsonl,
2026-09-03T03:12:40.109714+00:00,321302,DR DAN C TRIGG MEMORIAL HOSPITAL,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954561,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321302.jsonl,
2026-09-03T03:12:40.109714+00:00,321305,NOR LEA DISTRICT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321305.jsonl,,,,0.02
2026-09-03T03:12:40.109714+00:00,321306,LINCOLN COUNTY MEDICAL CENTER,SKIPPED,https://onbaseext.phs.org/PEL/DisplayDocument?ContentID=PEL_00954562,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321306.jsonl,
2026-09-03T03:12:40.109714+00:00,321307,MINERS COLFAX MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321307.jsonl,,,,0.06
2026-09-03T03:12:40.109714+00:00,321308,CIBOLA GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321308.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,321309,MIMBRES MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321309.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,321311,GILA REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\321311.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,322002,KINDRED HOSPITAL - ALBUQUERQUE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\322002.jsonl,,,,0.07
2026-09-03T03:12:40.109714+00:00,323028,LOVELACE UNM REHABILITATION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\323028.jsonl,,,,0.02
2026-09-03T03:12:40.109714+00:00,323032,REHABILITATION HOSPITAL OF SOUTHERN NEW MEXICO,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\323032.jsonl,,,,0.01
2026-09-03T03:12:40.109714+00:00,323033,CLEARSKY REHABILITATION HOSPITAL OF RIO RANCHO,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\323033.jsonl,,,,0.00
2026-09-03T03:12:40.109714+00:00,324010,MESILLA VALLEY HOSPITAL,SKIPPED,https://uhsfilecdn.eskycity.net/bh/202612295_mesilla-valley_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\324010.jsonl,
2026-09-03T03:12:40.109714+00:00,324012,PEAK BEHAVIORAL HEALTH SERVICES,SKIPPED,https://peakbehavioral.com/wp-content/uploads/2025/04/80-0895526_Peak-Behavioral-Health_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NM\324012.jsonl,
