date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.115745+00:00,012025,CARSON VALLEY HEALTH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\012025.jsonl,,,,0.02
2026-09-03T03:12:40.115745+00:00,290001,RENOWN REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290001.jsonl,2,,,0.02
2026-09-03T03:12:40.115745+00:00,290003,SUNRISE HOSPITAL AND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290003.jsonl,2,,,0.16
2026-09-03T03:12:40.115745+00:00,290005,NORTH VISTA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290005.jsonl,,,,0.03
2026-09-03T03:12:40.115745+00:00,290008,NORTHEASTERN NEVADA REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290008.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,290012,DIGNITY HEALTH ST. ROSE DOMINICAN ROSE DE LIMA CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290012.jsonl,,,,0.05
2026-09-03T03:12:40.115745+00:00,290019,CARSON TAHOE REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290019.jsonl,,,,0.02
2026-09-03T03:12:40.115745+00:00,290021,VALLEY HOSPITAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290021.jsonl,,,,0.04
2026-09-03T03:12:40.115745+00:00,290032,NORTHERN NEVADA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290032.jsonl,,,,0.08
2026-09-03T03:12:40.115745+00:00,290039,MOUNTAINVIEW HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290039.jsonl,2,,,0.09
2026-09-03T03:12:40.115745+00:00,290045,DIGNITY HEALTH ST. ROSE DOMINICAN SIENA CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290045.jsonl,,,,0.05
2026-09-03T03:12:40.115745+00:00,290046,SPRING VALLEY HOSPITAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290046.jsonl,,,,0.04
2026-09-03T03:12:40.115745+00:00,290047,SOUTHERN HILLS HOSPITAL AND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290047.jsonl,2,,,0.09
2026-09-03T03:12:40.115745+00:00,290051,CARSON TAHOE SIERRA SURGERY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290051.jsonl,,,,0.02
2026-09-03T03:12:40.115745+00:00,290053,DIGNITY HEALTH ST. ROSE DOMINICAN SAN MARTIN CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290053.jsonl,,,,0.05
2026-09-03T03:12:40.115745+00:00,290054,CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290054.jsonl,,,,0.04
2026-09-03T03:12:40.115745+00:00,290057,HENDERSON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\290057.jsonl,,,,0.04
2026-09-03T03:12:40.115745+00:00,291300,MOUNT GRANT GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291300.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,291301,INCLINE VILLAGE COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291301.jsonl,,,,0.07
2026-09-03T03:12:40.115745+00:00,291302,WILLIAM BEE RIRIE HOSPITAL,SKIPPED,http://134.197.228.190/Files/880115812_WilliamBeeRirieHospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291302.jsonl,
2026-09-03T03:12:40.115745+00:00,291303,BATTLE MOUNTAIN GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291303.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,291304,PERSHING GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291304.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,291307,MESA VIEW REGIONAL HOSPITAL,SKIPPED,https://apps.para-hcfs.com/PTT/FinalLinks/MesaView.aspx#,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291307.jsonl,
2026-09-03T03:12:40.115745+00:00,291308,HUMBOLDT GENERAL HOSPITAL,SKIPPED,https://res.cloudinary.com/dpmykpsih/raw/upload/humboldt-site-391/media/r/a17df971484942ed94bf561cd8367dcf/886000088_humboldt-general-hospital-district_machine-readable-file.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291308.jsonl,
2026-09-03T03:12:40.115745+00:00,291309,BOULDER CITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291309.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,291311,DESERT VIEW HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291311.jsonl,,,,0.06
2026-09-03T03:12:40.115745+00:00,291312,GROVER C DILS MEDICAL CENTER,SKIPPED,https://rca.centaurihs.com/ptapp/#137db597daba65e49980212b8de4297e038c1b814e1a92fe58c0f1c7a0bc78c3,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\291312.jsonl,
2026-09-03T03:12:40.115745+00:00,292002,KINDRED HOSPITAL - LAS VEGAS SAHARA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\292002.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,292003,HORIZON SPECIALTY HOSPITAL - LAS VEGAS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\292003.jsonl,,,,0.00
2026-09-03T03:12:40.115745+00:00,292006,PAM HEALTH SPECIALTY HOSPITAL OF LAS VEGAS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\292006.jsonl,,,,0.01
2026-09-03T03:12:40.115745+00:00,292007,AMG SPECIALTY HOSPITAL LAS VEGAS,SKIPPED,https://amgihm.com/wp-content/uploads/2023/04/47-3240168_Las-Vegas-AMG-Specialty-Hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\292007.jsonl,
2026-09-03T03:12:40.115745+00:00,292008,CARSON TAHOE SPECIALTY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\292008.jsonl,,,,0.02
2026-09-03T03:12:40.115745+00:00,292009,ELITE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\292009.jsonl,,,,0.04
2026-09-03T03:12:40.115745+00:00,293026,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF LAS VEGAS,SKIPPED,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/251693810_Encompass-Health-Rehabilitation-Hospital-of-Las-Vegas_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\293026.jsonl,
2026-09-03T03:12:40.115745+00:00,293033,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DESERT CANYON,SKIPPED,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/272457834_Encompass-Health-Rehabilitation-Hospital-of-Desert-Canyon_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\293033.jsonl,
2026-09-03T03:12:40.115745+00:00,293034,PAM REHABILITATION HOSPITAL OF CENTENNIAL HILLS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\293034.jsonl,1,,,0.10
2026-09-03T03:12:40.115745+00:00,293035,DIGNITY HEALTH REHABILITATION HOSPITAL,SKIPPED,https://resources.selectmedical.com/Pricing-Transparency/inpatient-rehabilitation/82-1064183_Dignity_Health_Rehab_Hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\293035.jsonl,
2026-09-03T03:12:40.115745+00:00,294011,SPRING MOUNTAIN TREATMENT CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\294011.jsonl,,,,0.04
2026-09-03T03:12:40.115745+00:00,294013,DESERT PARKWAY BEHAVIORAL HEALTHCARE HOSPITAL,SKIPPED,https://www.desertparkway.com/wp-content/uploads/2025/06/454953696_Desert_Parkway_Behavioral_Healthcare_Hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\294013.jsonl,
2026-09-03T03:12:40.115745+00:00,294015,RENO BEHAVIORAL HEALTHCARE HOSPITAL,SKIPPED,https://www.renobehavioral.com/sites/default/files/price-transparency.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\294015.jsonl,
2026-09-03T03:12:40.115745+00:00,295011,SOUTH LYON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NV\295011.jsonl,,,,0.01
