date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.151112+00:00,330003,SAMARITAN HOSPITAL - ALBANY MEMORIAL CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330003.jsonl,,,,0.02
2026-09-03T03:12:40.151112+00:00,330006,ST JOSEPH'S MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330006.jsonl,,,,0.01
2026-09-03T03:12:40.151112+00:00,330008,WYOMING COUNTY COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330008.jsonl,,,,0.02
2026-09-03T03:12:40.151112+00:00,330009,"BRONXCARE DR. MARTIN LUTHER KING, JR. HEALTH CENTER",SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330009.jsonl,,,,0.06
2026-09-03T03:12:40.151112+00:00,330011,GUTHRIE LOURDES HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330011.jsonl,2,,,0.02
2026-09-03T03:12:40.151112+00:00,330013,ALBANY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330013.jsonl,2,,,0.04
2026-09-03T03:12:40.151112+00:00,330014,JAMAICA HOSPITAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330014.jsonl,,,,0.02
2026-09-03T03:12:40.152117+00:00,330019,MAIMONIDES MIDWOOD COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330019.jsonl,,,,0.01
2026-09-03T03:12:40.152117+00:00,330023,VASSAR BROTHERS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330023.jsonl,2,,,0.02
2026-09-03T03:12:40.152117+00:00,330024,MOUNT SINAI HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330024.jsonl,2,,,0.04
2026-09-03T03:12:40.152117+00:00,330027,NASSAU UNIVERSITY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330027.jsonl,,,,0.03
2026-09-03T03:12:40.152117+00:00,330030,NEWARK-WAYNE COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330030.jsonl,,,,0.04
2026-09-03T03:12:40.152117+00:00,330033,CHENANGO MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330033.jsonl,,,,0.07
2026-09-03T03:12:40.152117+00:00,330043,SOUTH SHORE UNIVERSITY HOSPITAL,SKIPPED,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/South_Shore_University_Hospital_StandardCharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330043.jsonl,
2026-09-03T03:12:40.152117+00:00,330045,HUNTINGTON HOSPITAL,SKIPPED,https://www.northwell.edu/sites/northwell.edu/files/machine-readable-files/Huntington_Hospital_StandardCharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330045.jsonl,
2026-09-03T03:12:40.152117+00:00,330046,MOUNT SINAI MORNINGSIDE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330046.jsonl,2,,,0.04
2026-09-03T03:12:40.152117+00:00,330046,MOUNT SINAI WEST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330046.jsonl,2,,,0.04
2026-09-03T03:12:40.152117+00:00,330047,ST. MARY'S HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330047.jsonl,,,,0.02
2026-09-03T03:12:40.152117+00:00,330049,NORTHERN DUTCHESS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330049.jsonl,2,,,0.02
2026-09-03T03:12:40.152117+00:00,330055,NEW YORK PRESBYTERIAN QUEENS,SKIPPED,https://nyp.acquiadam.com/assets/share/asset/nfagsjimrt,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330055.jsonl,
2026-09-03T03:12:40.152117+00:00,330056,BROOKLYN HOSPITAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330056.jsonl,,,,0.02
2026-09-03T03:12:40.152117+00:00,330057,ST. PETER'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330057.jsonl,,,,0.02
2026-09-03T03:12:40.152117+00:00,330058,GENEVA GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330058.jsonl,,,,0.01
2026-09-03T03:12:40.152117+00:00,330059,MONTEFIORE HOSPITAL (MOSES CAMPUS),SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330059.jsonl,,,,0.06
2026-09-03T03:12:40.152117+00:00,330059,MONTEFIORE JACK D. WEILER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330059.jsonl,,,,0.06
2026-09-03T03:12:40.152117+00:00,330061,NEW YORK PRESBYTERIAN WESTCHESTER,SKIPPED,https://nyp.acquiadam.com/assets/share/asset/hisgjrgpuk,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330061.jsonl,
2026-09-03T03:12:40.152117+00:00,330065,NIAGARA FALLS MEMORIAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330065.jsonl,,,,0.04
2026-09-03T03:12:40.152117+00:00,330067,MIDHUDSON REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330067.jsonl,2,,,0.03
2026-09-03T03:12:40.152117+00:00,330074,THOMPSON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330074.jsonl,,,,0.02
2026-09-03T03:12:40.152117+00:00,330078,SISTERS OF CHARITY HOSPITAL,SKIPPED,https://www.chsbuffalo.org/wp-content/uploads/2025/02/16-0762843_Kenmore-Mercy-Hospital_StandardCharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330078.jsonl,
2026-09-03T03:12:40.152117+00:00,330079,ADIRONDACK MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\NY\330079.jsonl,,,,0.03
