date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.139858+00:00,360001,MERCY HOSPITAL ANDERSON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360001.jsonl,,,,0.02
2026-09-03T03:12:40.139858+00:00,360002,UH SAMARITAN MEDICAL CENTER,SKIPPED,https://sthpiprd.blob.core.windows.net/machine-readable-files/7892/340714535-1902882939_university-hospitals-health-system_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360002.jsonl,
2026-09-03T03:12:40.139858+00:00,360003,UC HEALTH UNIVERSITY OF CINCINNATI MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360003.jsonl,,,,0.09
2026-09-03T03:12:40.139858+00:00,360006,RIVERSIDE METHODIST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360006.jsonl,2,,,0.03
2026-09-03T03:12:40.139858+00:00,360008,SOUTHERN OHIO MEDICAL CENTER,SKIPPED,https://pricetransparency.healthcare/southern-ohio-medical-center/charges/export,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360008.jsonl,
2026-09-03T03:12:40.139858+00:00,360009,LIMA MEMORIAL HEALTH SYSTEM,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360009.jsonl,,,,0.07
2026-09-03T03:12:40.139858+00:00,360010,CLEVELAND CLINIC UNION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360010.jsonl,2,,,0.05
2026-09-03T03:12:40.139858+00:00,360011,MARION GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360011.jsonl,2,,,0.08
2026-09-03T03:12:40.139858+00:00,360012,MOUNT CARMEL ST ANN'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360012.jsonl,1,,,0.07
2026-09-03T03:12:40.139858+00:00,360013,WILSON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360013.jsonl,,,,0.01
2026-09-03T03:12:40.139858+00:00,360014,O'BLENESS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360014.jsonl,2,,,0.03
2026-09-03T03:12:40.139858+00:00,360016,MERCY HEALTH - THE JEWISH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360016.jsonl,,,,0.03
2026-09-03T03:12:40.139858+00:00,360017,GRANT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360017.jsonl,2,,,0.03
2026-09-03T03:12:40.139858+00:00,360020,SUMMA HEALTH SYSTEMS - AKRON CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360020.jsonl,2,,,0.10
2026-09-03T03:12:40.139858+00:00,360025,FIRELANDS REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OH\360025.jsonl,2,,,0.02
