date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.129669+00:00,370001,HILLCREST MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370001.jsonl,2,,,0.02
2026-09-03T03:12:40.129669+00:00,370004,INTEGRIS MIAMI HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370004.jsonl,,,,0.02
2026-09-03T03:12:40.129669+00:00,370006,INTEGRIS HEALTH PONCA CITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370006.jsonl,,,,0.05
2026-09-03T03:12:40.129669+00:00,370008,NORMAN REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370008.jsonl,,,,0.02
2026-09-03T03:12:40.129669+00:00,370013,MERCY HOSPITAL OKLAHOMA CITY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370013.jsonl,2,,,0.07
2026-09-03T03:12:40.129669+00:00,370014,ALLIANCEHEALTH DURANT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370014.jsonl,,,,0.01
2026-09-03T03:12:40.129669+00:00,370015,HILLCREST HOSPITAL PRYOR,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370015.jsonl,,,,0.08
2026-09-03T03:12:40.129669+00:00,370016,INTEGRIS HEALTH ENID HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370016.jsonl,,,,0.03
2026-09-03T03:12:40.129669+00:00,370019,GREAT PLAINS REGIONAL MEDICAL CENTER,SKIPPED,https://www.gprmc-ok.com/wp-content/uploads/2025/03/730579295_great-plains-regional-medical_standardcharges.csv.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370019.jsonl,
2026-09-03T03:12:40.129669+00:00,370020,MERCY HOSPITAL ADA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370020.jsonl,,,,0.02
2026-09-03T03:12:40.129669+00:00,370022,JACKSON COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370022.jsonl,2,,,0.07
2026-09-03T03:12:40.129669+00:00,370023,DUNCAN REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370023.jsonl,2,,,0.17
2026-09-03T03:12:40.129669+00:00,370025,SAINT FRANCIS HOSPITAL MUSKOGEE,SKIPPED,https://www.saintfrancis.com/finance/sfhm-cms-hpt,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370025.jsonl,
2026-09-03T03:12:40.129669+00:00,370026,ST. MARY'S REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OK\370026.jsonl,2,,,0.06
