date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.127499+00:00,303481,KAISER PERMANENTE WESTSIDE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\303481.jsonl,2,,,0.04
2026-09-03T03:12:40.127499+00:00,380001,ADVENTIST HEALTH COLUMBIA GORGE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380001.jsonl,,,,0.03
2026-09-03T03:12:40.127499+00:00,380005,ASANTE ASHLAND COMMUNITY HOSPITAL,SKIPPED,https://www.asante.org/app/files/public/6ced7477-8c3f-45bc-b59e-cbc0ca8270f4/AsanteAshlandCommunityHospital_StandardCharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380005.jsonl,
2026-09-03T03:12:40.127499+00:00,380009,OHSU HOSPITAL PORTLAND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380009.jsonl,2,,,0.04
2026-09-03T03:12:40.127499+00:00,380014,GOOD SAMARITAN REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380014.jsonl,1,,,0.09
2026-09-03T03:12:40.127499+00:00,380020,MCKENZIE-WILLAMETTE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380020.jsonl,,,,0.02
2026-09-03T03:12:40.127499+00:00,380021,OHSU HILLSBORO MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380021.jsonl,2,,,0.02
2026-09-03T03:12:40.127499+00:00,380025,LEGACY MOUNT HOOD MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380025.jsonl,,,,0.06
2026-09-03T03:12:40.127499+00:00,380027,CHI MERCY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380027.jsonl,,,,0.05
2026-09-03T03:12:40.127499+00:00,380029,LEGACY SILVERTON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380029.jsonl,,,,0.05
2026-09-03T03:12:40.127499+00:00,380037,PROVIDENCE NEWBERG MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380037.jsonl,,,,0.06
2026-09-03T03:12:40.127499+00:00,380040,ST CHARLES REDMOND,SKIPPED,https://stcharleshealthcare.org/pricetransparency/93-0602940_StCharlesHealthSystem_Redmond_standardcharges.zip,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380040.jsonl,
2026-09-03T03:12:40.127499+00:00,380047,ST CHARLES MEDICAL CENTER BEND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380047.jsonl,,,,0.03
2026-09-03T03:12:40.127499+00:00,380050,SKY LAKES MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380050.jsonl,,,,0.00
2026-09-03T03:12:40.127499+00:00,380051,SALEM HEALTH SALEM HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380051.jsonl,2,,,0.08
2026-09-03T03:12:40.127499+00:00,380052,SAINT ALPHONSUS MEDICAL CENTER - ONTARIO,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380052.jsonl,,,,0.12
2026-09-03T03:12:40.127499+00:00,380056,SANTIAM HOSPITAL,SKIPPED,https://santiamhospital.org/wp-content/uploads/2023/12/2024-Santiam-Pricing-Transparency-File-.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380056.jsonl,
2026-09-03T03:12:40.127499+00:00,380060,ADVENTIST HEALTH PORTLAND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380060.jsonl,,,,0.02
2026-09-03T03:12:40.127499+00:00,380061,PROVIDENCE PORTLAND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380061.jsonl,,,,0.02
2026-09-03T03:12:40.127499+00:00,380071,WILLAMETTE VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380071.jsonl,,,,0.04
2026-09-03T03:12:40.127499+00:00,380075,PROVIDENCE MEDFORD MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380075.jsonl,,,,0.08
2026-09-03T03:12:40.127499+00:00,380082,PROVIDENCE MILWAUKIE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380082.jsonl,,,,0.03
2026-09-03T03:12:40.127499+00:00,380089,LEGACY MERIDIAN PARK MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380089.jsonl,,,,0.06
2026-09-03T03:12:40.127499+00:00,380090,BAY AREA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380090.jsonl,2,,,0.02
2026-09-03T03:12:40.127499+00:00,380102,PEACEHEALTH SACRED HEART MEDICAL CENTER RIVERBEND,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\380102.jsonl,2,,,0.09
2026-09-03T03:12:40.127499+00:00,381301,PEACEHEALTH COTTAGE GROVE COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\381301.jsonl,2,,,0.01
2026-09-03T03:12:40.127499+00:00,381303,PROVIDENCE SEASIDE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\381303.jsonl,,,,0.11
2026-09-03T03:12:40.127499+00:00,381305,BLUE MOUNTAIN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\381305.jsonl,,,,0.02
2026-09-03T03:12:40.127499+00:00,381306,WALLOWA MEMORIAL HOSPITAL,SKIPPED,https://wchcd.org/wp-content/uploads/2024/12/936002339_wallowa-county-health-care-district_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\OR\381306.jsonl,
