date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.154118+00:00,390001,GEISINGER COMMUNITY MEDICAL CENTER,SKIPPED,https://www.geisinger.org/-/media/OneGeisinger/pdfs/ghs/patient-care/patients-and-visitors/billing-and-insurance/hosp-charges-csv/24-0862246_Geisinger-Community-Medical-Center_standardcharges,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390001.jsonl,
2026-09-03T03:12:40.154118+00:00,390002,UPMC MCKEESPORT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390002.jsonl,,,,0.01
2026-09-03T03:12:40.154118+00:00,390003,GEISINGER-BLOOMSBURG HOSPITAL,SKIPPED,https://www.geisinger.org/-/media/OneGeisinger/pdfs/ghs/patient-care/patients-and-visitors/billing-and-insurance/hosp-charges-csv/23-2193572_Geisinger-Bloomsburg-Hospital_standardcharges,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390003.jsonl,
2026-09-03T03:12:40.154118+00:00,390004,PENN STATE HEALTH HOLY SPIRIT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390004.jsonl,,,,0.05
2026-09-03T03:12:40.154118+00:00,390006,GEISINGER MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390006.jsonl,2,,,0.03
2026-09-03T03:12:40.154118+00:00,390009,AHN SAINT VINCENT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390009.jsonl,2,,,0.07
2026-09-03T03:12:40.154118+00:00,390012,JEFFERSON LANSDALE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390012.jsonl,2,,,0.07
2026-09-03T03:12:40.154118+00:00,390013,WELLSPAN EVANGELICAL COMMUNITY HOSPITAL,SKIPPED,https://www.evanhospital.com/download/?id=9731,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390013.jsonl,
2026-09-03T03:12:40.154118+00:00,390016,UPMC JAMESON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390016.jsonl,,,,0.01
2026-09-03T03:12:40.154118+00:00,390025,KENSINGTON HOSPITAL,SKIPPED,https://kensingtonhospital.org/assets/docs/231381447_KensingtonHospital_standardcharges.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390025.jsonl,
2026-09-03T03:12:40.154118+00:00,390026,TEMPLE HEALTH - CHESTNUT HILL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\PA\390026.jsonl,,,,0.10
