date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.137852+00:00,420002,PIEDMONT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420002.jsonl,2,,,0.19
2026-09-03T03:12:40.137852+00:00,420004,MUSC HEALTH UNIVERSITY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420004.jsonl,,,,0.06
2026-09-03T03:12:40.137852+00:00,420005,MCLEOD MEDICAL CENTER-DILLON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420005.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420007,SPARTANBURG MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420007.jsonl,,,,0.02
2026-09-03T03:12:40.137852+00:00,420009,PRISMA HEALTH OCONEE MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420009.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420010,CAROLINA PINES REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420010.jsonl,,,,0.02
2026-09-03T03:12:40.137852+00:00,420011,ANMED HEALTH CANNON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420011.jsonl,2,,,0.19
2026-09-03T03:12:40.137852+00:00,420015,PRISMA HEALTH BAPTIST EASLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420015.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420018,PRISMA HEALTH RICHLAND HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420018.jsonl,2,,,0.14
2026-09-03T03:12:40.137852+00:00,420019,MUSC HEALTH CHESTER MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420019.jsonl,,,,0.12
2026-09-03T03:12:40.137852+00:00,420020,TIDELANDS GEORGETOWN MEMORIAL HOSPITAL,SKIPPED,https://www.tidelandshealth.org/app/files/public/ab2f55e8-2c25-4555-828c-499088c05e8e/043633263_WaccamawCommunityHospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420020.jsonl,
2026-09-03T03:12:40.137852+00:00,420023,BON SECOURS ST FRANCIS DOWNTOWN,SKIPPED,https://www.bonsecours.com/-/media/bon-secours/patients-and-visitors/corporate/pricing/582504530_st-francis-downtown_standardcharges.ashx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420023.jsonl,
2026-09-03T03:12:40.137852+00:00,420026,MUSC HEALTH COLUMBIA MEDICAL CENTER DOWNTOWN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420026.jsonl,,,,0.03
2026-09-03T03:12:40.137852+00:00,420027,ANMED HEALTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420027.jsonl,2,,,0.05
2026-09-03T03:12:40.137852+00:00,420030,COLLETON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420030.jsonl,2,,,0.08
2026-09-03T03:12:40.137852+00:00,420033,PRISMA HEALTH GREER MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420033.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420036,MUSC HEALTH LANCASTER MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420036.jsonl,,,,0.11
2026-09-03T03:12:40.137852+00:00,420037,PRISMA HEALTH HILLCREST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420037.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420038,PRISMA HEALTH LAURENS COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420038.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420043,CHEROKEE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420043.jsonl,,,,0.08
2026-09-03T03:12:40.137852+00:00,420048,MUSC HEALTH KERSHAW MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420048.jsonl,,,,0.11
2026-09-03T03:12:40.137852+00:00,420049,CONWAY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420049.jsonl,,,,0.04
2026-09-03T03:12:40.137852+00:00,420051,MCLEOD REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420051.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420053,NEWBERRY COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420053.jsonl,,,,0.01
2026-09-03T03:12:40.137852+00:00,420055,MUSC HEALTH MARION MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420055.jsonl,,,,0.09
2026-09-03T03:12:40.137852+00:00,420065,BON SECOURS ST FRANCIS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420065.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420067,BEAUFORT MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420067.jsonl,,,,0.02
2026-09-03T03:12:40.137852+00:00,420068,MUSC HEALTH - ORANGEBURG,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420068.jsonl,,,,0.03
2026-09-03T03:12:40.137852+00:00,420070,PRISMA HEALTH TUOMEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420070.jsonl,2,,,0.02
2026-09-03T03:12:40.137852+00:00,420071,SELF REGIONAL HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420071.jsonl,,,,0.05
2026-09-03T03:12:40.137852+00:00,420072,HAMPTON REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420072.jsonl,,,,0.01
2026-09-03T03:12:40.137852+00:00,420073,LEXINGTON MEDICAL CENTER,SKIPPED,https://www.lexmed.com/docs/patients/852276567_lexington_medical_center_standardcharges.json,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420073.jsonl,
2026-09-03T03:12:40.137852+00:00,420078,PRISMA HEALTH GREENVILLE MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420078.jsonl,2,,,0.03
2026-09-03T03:12:40.137852+00:00,420079,TRIDENT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420079.jsonl,2,,,0.20
2026-09-03T03:12:40.137852+00:00,420080,NOVANT HEALTH HILTON HEAD MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420080.jsonl,2,,,0.11
2026-09-03T03:12:40.137852+00:00,420082,AIKEN REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420082.jsonl,,,,0.12
2026-09-03T03:12:40.137852+00:00,420083,SPARTANBURG MEDICAL CENTER - MARY BLACK CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420083.jsonl,,,,0.02
2026-09-03T03:12:40.137852+00:00,420085,GRAND STRAND REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\SC\420085.jsonl,2,,,0.09
