date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.136336+00:00,460001,INTERMOUNTAIN HEALTH UTAH VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460001.jsonl,2,,,0.06
2026-09-03T03:12:40.136336+00:00,460003,COMMONSPIRIT - HOLY CROSS HOSPITAL - SALT LAKE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460003.jsonl,2,,,0.05
2026-09-03T03:12:40.136336+00:00,460004,INTERMOUNTAIN HEALTH MCKAY-DEE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460004.jsonl,2,,,0.12
2026-09-03T03:12:40.136336+00:00,460005,OGDEN REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460005.jsonl,2,,,0.14
2026-09-03T03:12:40.136336+00:00,460006,INTERMOUNTAIN HEALTH LDS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460006.jsonl,2,,,0.06
2026-09-03T03:12:40.136336+00:00,460008,COMMONSPIRIT HOLY CROSS HOSPITAL - JORDAN VALLEY WEST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460008.jsonl,2,,,0.04
2026-09-03T03:12:40.136336+00:00,460009,UNIVERSITY OF UTAH HOSPITAL,SKIPPED,https://md.utah.edu/pricing/876000525_UNIVERSITY-OF-UTAH-HOSPITAL-AND-CLINICS_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460009.jsonl,
2026-09-03T03:12:40.136336+00:00,460010,INTERMOUNTAIN HEALTH INTERMOUNTAIN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460010.jsonl,2,,,0.08
2026-09-03T03:12:40.136336+00:00,460013,MOUNTAIN VIEW HOSPITAL PAYSON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460013.jsonl,2,,,0.15
2026-09-03T03:12:40.136336+00:00,460014,MOUNTAIN WEST MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460014.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,460015,INTERMOUNTAIN HEALTH LOGAN REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460015.jsonl,1,,,0.06
2026-09-03T03:12:40.136336+00:00,460019,UINTAH BASIN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460019.jsonl,,,,0.00
2026-09-03T03:12:40.136336+00:00,460021,INTERMOUNTAIN HEALTH ST. GEORGE REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460021.jsonl,2,,,0.05
2026-09-03T03:12:40.136336+00:00,460026,INTERMOUNTAIN HEALTH SEVIER VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460026.jsonl,2,,,0.16
2026-09-03T03:12:40.136336+00:00,460030,ASHLEY REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460030.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,460041,COMMONSPIRIT - HOLY CROSS HOSPITAL - DAVIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460041.jsonl,2,,,0.05
2026-09-03T03:12:40.136336+00:00,460042,LAKEVIEW HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460042.jsonl,2,,,0.08
2026-09-03T03:12:40.136336+00:00,460043,INTERMOUNTAIN HEALTH OREM COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460043.jsonl,1,,,0.18
2026-09-03T03:12:40.136336+00:00,460044,INTERMOUNTAIN HEALTH ALTA VIEW HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460044.jsonl,1,,,0.19
2026-09-03T03:12:40.136336+00:00,460047,ST. MARKS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460047.jsonl,2,,,0.13
2026-09-03T03:12:40.136336+00:00,460051,COMMONSPIRIT HOLY CROSS HOSPITAL - JORDAN VALLEY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460051.jsonl,2,,,0.08
2026-09-03T03:12:40.136336+00:00,460052,TIMPANOGOS REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460052.jsonl,2,,,0.08
2026-09-03T03:12:40.136336+00:00,460057,INTERMOUNTAIN HEALTH PARK CITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460057.jsonl,1,,,0.05
2026-09-03T03:12:40.136336+00:00,460058,INTERMOUNTAIN HEALTH RIVERTON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460058.jsonl,1,,,0.06
2026-09-03T03:12:40.136336+00:00,460060,LONE PEAK HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460060.jsonl,2,,,0.09
2026-09-03T03:12:40.136336+00:00,460061,INTERMOUNTAIN HEALTH LAYTON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460061.jsonl,1,,,0.06
2026-09-03T03:12:40.136336+00:00,460062,INTERMOUNTAIN HEALTH SPANISH FORK HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\460062.jsonl,2,,,0.06
2026-09-03T03:12:40.136336+00:00,461302,MOAB REGIONAL HOSPITAL,SKIPPED,http://mrhmoab.org/wp-content/uploads/2024/07/870543342_MoabRegionalHospital_Standardcharges-1-1.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461302.jsonl,
2026-09-03T03:12:40.136336+00:00,461303,INTERMOUNTAIN HEALTH SANPETE VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461303.jsonl,2,,,0.09
2026-09-03T03:12:40.136336+00:00,461304,CENTRAL VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461304.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,461306,GUNNISON VALLEY HOSPITAL,SKIPPED,https://www.gvhospital.org/images/pdfs-doc/GVH_Chargemaster_machine_readable_worksheet_posted_01_01_25_1.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461306.jsonl,
2026-09-03T03:12:40.136336+00:00,461307,INTERMOUNTAIN HEALTH HEBER VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461307.jsonl,1,,,0.14
2026-09-03T03:12:40.136336+00:00,461308,SAN JUAN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461308.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,461309,KANE COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461309.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,461310,BLUE MOUNTAIN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461310.jsonl,,,,0.00
2026-09-03T03:12:40.136336+00:00,461333,INTERMOUNTAIN HEALTH GARFIELD MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461333.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,461335,BEAVER VALLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\461335.jsonl,,,,0.00
2026-09-03T03:12:40.136336+00:00,462003,WESTERN PEAKS SPECIALTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\462003.jsonl,,,,0.00
2026-09-03T03:12:40.136336+00:00,462004,KPC PROMISE HOSPITAL OF SALT LAKE,SKIPPED,https://saltlake.kpcph.com/wp-content/uploads/sites/7/2023/11/83-4141873_KPC-Promise-Hospital-of-Salt-Lake_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\462004.jsonl,
2026-09-03T03:12:40.136336+00:00,462005,UTAH VALLEY SPECIALTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\462005.jsonl,,,,0.01
2026-09-03T03:12:40.136336+00:00,463025,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF UTAH,SKIPPED,https://edge.sitecorecloud.io/encompasshee178-encompasshed9db-prodb258-07da/media/Project/EncompassHealth/encompasshealth/Files/1-price-transparency/631105917_Encompass-Health-Rehabilitation-Hospital-of-Utah_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\463025.jsonl,
2026-09-03T03:12:40.136336+00:00,463027,NORTHERN UTAH REHABILITATION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\463027.jsonl,,,,0.02
2026-09-03T03:12:40.136336+00:00,463301,INTERMOUNTAIN HEALTH PRIMARY CHILDREN'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\463301.jsonl,2,,,0.05
2026-09-03T03:12:40.136336+00:00,464013,SALT LAKE BEHAVIORAL HEALTH,SKIPPED,https://uhsfilecdn.eskycity.net/bh/271365684_salt-lake_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\464013.jsonl,
2026-09-03T03:12:40.136336+00:00,464014,ASPEN GROVE BEHAVIORAL HOSPITAL,SKIPPED,https://uhsfilecdn.eskycity.net/bh/233044423_aspen-grove_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\UT\464014.jsonl,
