date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.144097+00:00,490001,NORTON COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490001.jsonl,,,,0.02
2026-09-03T03:12:40.144097+00:00,490002,RUSSELL COUNTY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490002.jsonl,,,,0.09
2026-09-03T03:12:40.144097+00:00,490004,SENTARA RMH MEDICAL CENTER,SKIPPED,https://www.sentara.com/Documents/s/sentararmhmedicalcenterstandardchargesxlsx-1395259,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490004.jsonl,
2026-09-03T03:12:40.144097+00:00,490005,VALLEY HEALTH WINCHESTER MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490005.jsonl,2,,,0.11
2026-09-03T03:12:40.144097+00:00,490007,SENTARA NORFOLK GENERAL HOSPITAL,SKIPPED,https://www.sentara.com/Documents/s/sentaranorfolkgeneralhospitalstandardchargesxlsx-1395284,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490007.jsonl,
2026-09-03T03:12:40.144097+00:00,490009,UVA UNIVERSITY HOSPITAL,SKIPPED,https://uvahealth.com/sites/default/files/2024-09/546001796_university-of-virginia-medical-center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490009.jsonl,
2026-09-03T03:12:40.144097+00:00,490013,SENTARA HALIFAX REGIONAL HOSPITAL,SKIPPED,https://www.sentara.com/Documents/s/sentarahalifaxregionalhospitalstandardchargesxlsx-1395297,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490013.jsonl,
2026-09-03T03:12:40.144097+00:00,490017,BON SECOURS MARYVIEW MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490017.jsonl,2,,,0.02
2026-09-03T03:12:40.144097+00:00,490018,AUGUSTA HEALTH-MAIN CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490018.jsonl,,,,0.06
2026-09-03T03:12:40.144097+00:00,490019,UVA CULPEPER MEDICAL CENTER,SKIPPED,https://uvahealth.com/sites/default/files/2024-09/540622371_university-of-virginia-culpeper-medical-center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490019.jsonl,
2026-09-03T03:12:40.144097+00:00,490020,TRICITIES HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490020.jsonl,2,,,0.17
2026-09-03T03:12:40.144097+00:00,490021,CENTRA LYNCHBURG GENERAL HOSPITAL,SKIPPED,https://www.centrahealth.com/sites/default/files/2023-12/540715569_VirginiaBaptistHospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490021.jsonl,
2026-09-03T03:12:40.144097+00:00,490022,MARY WASHINGTON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VA\490022.jsonl,1,,,0.05
