date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.128504+00:00,470001,CENTRAL VERMONT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\470001.jsonl,2,,,0.03
2026-09-03T03:12:40.128504+00:00,470005,RUTLAND REGIONAL MEDICAL CENTER,SKIPPED,https://www.rrmc.org/app/files/public/47f0fe40-cd79-42f2-bd09-793a36563ae6/030183483_RutlandRegionalMedicalCenter_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\470005.jsonl,
2026-09-03T03:12:40.128504+00:00,470011,BRATTLEBORO MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\470011.jsonl,10,,,0.51
2026-09-03T03:12:40.128504+00:00,470012,SOUTHWESTERN VERMONT MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\470012.jsonl,2,,,0.05
2026-09-03T03:12:40.128504+00:00,470024,NORTHWESTERN MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\470024.jsonl,,,,0.02
2026-09-03T03:12:40.128504+00:00,471300,GRACE COTTAGE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471300.jsonl,,,,0.05
2026-09-03T03:12:40.128504+00:00,471301,GIFFORD MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471301.jsonl,,,,0.01
2026-09-03T03:12:40.128504+00:00,471302,MOUNT ASCUTNEY HOSPITAL & HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471302.jsonl,,,,0.05
2026-09-03T03:12:40.128504+00:00,471303,NORTHEASTERN VERMONT REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471303.jsonl,,,,0.02
2026-09-03T03:12:40.128504+00:00,471304,NORTH COUNTRY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471304.jsonl,,,,0.03
2026-09-03T03:12:40.128504+00:00,471305,COPLEY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471305.jsonl,,,,0.02
2026-09-03T03:12:40.128504+00:00,471306,SPRINGFIELD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\471306.jsonl,,,,0.09
2026-09-03T03:12:40.128504+00:00,474001,BRATTLEBORO RETREAT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\VT\474001.jsonl,,,,0.00
