date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.162819+00:00,520002,ASPIRUS STEVENS POINT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520002.jsonl,,,,0.03
2026-09-03T03:12:40.162819+00:00,520004,MAYO CLINIC HEALTH SYSTEM FRANCISCAN MEDICAL CENTER LA CROSSE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520004.jsonl,2,,,0.03
2026-09-03T03:12:40.162819+00:00,520008,PROHEALTH WAUKESHA MEMORIAL HOSPITAL,SKIPPED,https://www.prohealthcare.org/app/files/public/acd46025-e103-4176-adb7-469e53656d4d/39-0910727_ProHealth_Care_Waukesha_and_Mukwonago_Hospital_StandardCharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520008.jsonl,
2026-09-03T03:12:40.162819+00:00,520009,ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520009.jsonl,,,,0.12
2026-09-03T03:12:40.162819+00:00,520011,MARSHFIELD MEDICAL CENTER - RICE LAKE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520011.jsonl,2,,,0.03
2026-09-03T03:12:40.162819+00:00,520019,ASPIRUS RHINELANDER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520019.jsonl,,,,0.08
2026-09-03T03:12:40.162819+00:00,520021,FROEDTERT PLEASANT PRARIE HOSPITAL,SKIPPED,https://drive.google.com/file/d/1W6S2Zsal7L5cPL5AtlN1OaG6MqwayXsV/view,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520021.jsonl,
2026-09-03T03:12:40.162819+00:00,520027,ASCENSION COLUMBIA ST MARYS HOSPITAL OZAUKEE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520027.jsonl,,,,0.04
2026-09-03T03:12:40.162819+00:00,520028,SSM HEALTH MONROE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520028.jsonl,,,,0.02
2026-09-03T03:12:40.162819+00:00,520030,ASPIRUS PLOVER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WI\520030.jsonl,,,,0.03
