date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.138859+00:00,510001,JW RUBY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510001.jsonl,2,,,0.04
2026-09-03T03:12:40.138859+00:00,510002,GREENBRIER VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510002.jsonl,2,,,0.04
2026-09-03T03:12:40.138859+00:00,510006,UNITED HOSPITAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510006.jsonl,2,,,0.18
2026-09-03T03:12:40.138859+00:00,510007,ST MARY'S MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510007.jsonl,,,,0.02
2026-09-03T03:12:40.138859+00:00,510008,BERKELEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510008.jsonl,2,,,0.03
2026-09-03T03:12:40.138859+00:00,510012,RIVERS HEALTH REGIONAL HEALTH CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510012.jsonl,,,,0.01
2026-09-03T03:12:40.138859+00:00,510013,REYNOLDS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510013.jsonl,,,,0.12
2026-09-03T03:12:40.138859+00:00,510022,CHARLESTON AREA MEDICAL CENTER GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510022.jsonl,2,,,0.14
2026-09-03T03:12:40.138859+00:00,510022,CHARLESTON AREA MEDICAL CENTER MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510022.jsonl,2,,,0.10
2026-09-03T03:12:40.138859+00:00,510023,WEIRTON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510023.jsonl,2,,,0.04
2026-09-03T03:12:40.138859+00:00,510024,MON HEALTH MEDICAL CENTER,SKIPPED,https://monhealthmedicalcenter.pg.quadax.revenuemasters.com/cdm-files/237441353_mon-health-medical-center_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510024.jsonl,
2026-09-03T03:12:40.138859+00:00,510029,THOMAS MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510029.jsonl,2,,,0.02
2026-09-03T03:12:40.138859+00:00,510030,DAVIS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510030.jsonl,,,,0.08
2026-09-03T03:12:40.138859+00:00,510031,SAINT FRANCIS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510031.jsonl,2,,,0.03
2026-09-03T03:12:40.138859+00:00,510038,MON HEALTH STONEWALL JACKSON HOSPITAL,SKIPPED,https://stonewalljacksonhospital.pg.quadax.revenuemasters.com/cdm-files/550422958_stonewall-jackson-memorial-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510038.jsonl,
2026-09-03T03:12:40.138859+00:00,510046,PRINCETON COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510046.jsonl,,,,0.02
2026-09-03T03:12:40.138859+00:00,510048,LOGAN REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510048.jsonl,,,,0.01
2026-09-03T03:12:40.138859+00:00,510050,WHEELING HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510050.jsonl,2,,,0.02
2026-09-03T03:12:40.138859+00:00,510055,CABELL HUNTINGTON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510055.jsonl,2,,,0.03
2026-09-03T03:12:40.138859+00:00,510058,CAMDEN CLARK MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510058.jsonl,,,,0.02
2026-09-03T03:12:40.138859+00:00,510062,BECKLEY ARH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510062.jsonl,2,,,0.03
2026-09-03T03:12:40.138859+00:00,510070,RALEIGH GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WV\510070.jsonl,,,,0.04
