date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.131814+00:00,530008,SAGEWEST RIVERTON,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\530008.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,530011,MEMORIAL HOSPITAL OF SWEETWATER COUNTY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\530011.jsonl,2,,,0.02
2026-09-03T03:12:40.131814+00:00,530025,IVINSON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\530025.jsonl,1,,,0.12
2026-09-03T03:12:40.131814+00:00,530032,EVANSTON REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\530032.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,530034,SUMMIT MEDICAL CENTER CASPER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\530034.jsonl,,,,0.09
2026-09-03T03:12:40.131814+00:00,531301,THREE RIVERS HEALTH,SKIPPED,https://www.trhealth.com/wp-content/uploads/2024/01/TRHWebsite-CDM-1.xlsx,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531301.jsonl,
2026-09-03T03:12:40.131814+00:00,531302,MEMORIAL HOSPITAL OF CONVERSE COUNTY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531302.jsonl,,,,0.02
2026-09-03T03:12:40.131814+00:00,531303,WESTON COUNTY HEALTH SERVICES,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531303.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,531304,HOT SPRINGS HEALTH THERMOPOLIS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531304.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,531305,PLATTE COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531305.jsonl,,,,0.02
2026-09-03T03:12:40.131814+00:00,531306,WASHAKIE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531306.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,531307,COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531307.jsonl,,,,0.02
2026-09-03T03:12:40.131814+00:00,531308,JOHNSON COUNTY MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531308.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,531309,NORTH BIG HORN HOSPITAL DISTRICT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531309.jsonl,,,,0.00
2026-09-03T03:12:40.131814+00:00,531310,POWELL VALLEY HEALTHCARE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531310.jsonl,,,,0.02
2026-09-03T03:12:40.131814+00:00,531311,CROOK COUNTY HOSPITAL,SKIPPED,http://ccmsd.org/wp-content/uploads/2025/12/830210617_CROOKCOUNTYMEDICALSERVICESDISTRICT_STANDARDCHARGES-2025.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531311.jsonl,
2026-09-03T03:12:40.131814+00:00,531312,WEST PARK HOSPITAL - CODY REGIONAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531312.jsonl,,,,0.02
2026-09-03T03:12:40.131814+00:00,531314,NIOBRARA HEALTH AND LIFE CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531314.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,531316,MEMORIAL HOSPITAL OF CARBON COUNTY,SKIPPED,https://memorialhospitalofcarboncounty.pg.revenuemasters.com/cdm-files/836000025_memorial-hospital-of-carbon-county_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\531316.jsonl,
2026-09-03T03:12:40.131814+00:00,533027,ELKHORN VALLEY REHABILITATION HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\533027.jsonl,,,,0.01
2026-09-03T03:12:40.131814+00:00,534004,WYOMING BEHAVIORAL INSTITUTE,SKIPPED,https://uhsfilecdn.eskycity.net/bh/203367209_wyoming_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\WY\534004.jsonl,
